video_link,criador,descricao,likes,comentarios,compartilhamentos,salvamentos,visualizacoes,data_publicacao,data_texto_raw,musica,duracao,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,videos_recomendados,hashtags,grupo_origem,timestamp_coleta
https://www.tiktok.com/@mytocawishes/video/7574118171863420191,,,,,,,,,,,,False,True,True,True,False,False,,[],JUMINO,2026-03-20 03:28:28
https://www.tiktok.com/@zkh.hzk/video/7556575604800376072,,Just #japan #infj #juminocore #foryou #fypシ゚ ,248.0,5.0,7.0,,,· 2025-10-2,· 2025-10-2,,,False,True,True,True,False,False,,"['#japan', '#infj', '#juminocore', '#foryou', '#fypシ゚']",JUMINO,2026-03-20 03:28:34
https://www.tiktok.com/@jumino.mel.official/video/7584662982089575700,,#juminocore #heiseiretro #juminocore🍈🍙🍥🍡 #jumino ,40.0,1.0,1.0,,,· 2025-12-17,· 2025-12-17,som original - 🍡🍮jumino mel🍥🍧,,False,True,True,True,False,False,,"['#juminocore', '#heiseiretro', '#juminocore🍈🍙🍥🍡', '#jumino']",JUMINO,2026-03-20 03:29:47
https://www.tiktok.com/@chewwyu_/video/7600127251572673823,,"There is an obvious color bias 

#room #rilakkuma #juminocore #roomdecor ",38700.0,250.0,2312.0,,,· 1-27,· 1-27,,,False,True,True,True,False,False,,"['#room', '#rilakkuma', '#juminocore', '#roomdecor']",JUMINO,2026-03-20 03:31:33
https://www.tiktok.com/@lizzaliz__/video/7612148496421883143,,,,,,,,,,,,False,True,True,True,False,False,,[],JUMINO,2026-03-20 03:32:03
https://www.tiktok.com/@sanni_love/video/7503497852673346838,,New collage wallpaper 🤗🍥🍡🍋💖 #wallpaper #wallpapervideo ,20800.0,331.0,801.0,,,· 2025-5-12,· 2025-5-12,,,False,True,True,True,False,False,,"['#wallpaper', '#wallpapervideo']",JUMINO,2026-03-20 03:32:34
https://www.tiktok.com/@tangymoots/video/7611570637097684232,,"Inviting you to my juminocore / heisei retro vlogs! 🍀 yt: tangymoots vlog 

#vlog #sliceoflife #juminocore #nostalgia #whimsy ",18000.0,139.0,642.0,,,· 2-27,· 2-27,,,False,True,True,True,True,False,,"['#vlog', '#sliceoflife', '#juminocore', '#nostalgia', '#whimsy']",JUMINO,2026-03-20 03:32:55
https://www.tiktok.com/@mar13z/video/7531895498320416014,,☆ | uhhhhh caption | #fyp #foryou #gachalife #juminocore #heiseiretro,26000.0,493.0,1071.0,,,· 2025-7-27,· 2025-7-27,,,False,True,True,True,False,False,,"['#fyp', '#foryou', '#gachalife', '#juminocore', '#heiseiretro']",JUMINO,2026-03-20 03:33:23
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,,"#MYNEIGHBORTOTORO | This will probably flop 😿 — 

#totoro #myneighbortotoro #studioghibli #juminocore #ghlibi #anime #kawaii #satsukiandmei ",198900.0,1053.0,18800.0,,,· 2025-2-3,· 2025-2-3,My Neighbor Totoro (My Neighbor Totoro) - Aun J-Classic Orchestra,,False,True,True,True,False,False,,"['#MYNEIGHBORTOTORO', '#totoro', '#myneighbortotoro', '#studioghibli', '#juminocore', '#ghlibi', '#anime', '#kawaii', '#satsukiandmei']",JUMINO,2026-03-20 03:33:33
https://www.tiktok.com/@xybcefw/video/7460613894730632453,,#fypp #foryoupage #fyp #xybcefw #juminocore #onlyforyou #jumino ,226.0,2.0,4.0,,,· 2025-1-16,· 2025-1-16,,,False,True,True,True,True,False,,"['#fypp', '#foryoupage', '#fyp', '#xybcefw', '#juminocore', '#onlyforyou', '#jumino']",JUMINO,2026-03-20 03:33:44
