video_link,hashtag
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#aintgotnobody
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#weezer
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#core
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#corecore
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#song
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#music
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#lyrics
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#real
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#looser
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#loosercore
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#incelcore
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#2000s
https://www.tiktok.com/@c0urt_qw/video/7617119966856334605,#nostalgia
https://www.tiktok.com/@unknownxyz222/video/7525965249527303429,#core
https://www.tiktok.com/@unknownxyz222/video/7525965249527303429,#solitude
https://www.tiktok.com/@unknownxyz222/video/7525965249527303429,#moments
https://www.tiktok.com/@unknownxyz222/video/7525965249527303429,#foryoupage
https://www.tiktok.com/@z.zal_/video/7553013089369640248,#corecore
https://www.tiktok.com/@z.zal_/video/7553013089369640248,#fyp
https://www.tiktok.com/@z.zal_/video/7553013089369640248,#fyppppppppppppppppppppppp
https://www.tiktok.com/@z.zal_/video/7553013089369640248,#core
https://www.tiktok.com/@z.zal_/video/7553013089369640248,#sad
https://www.tiktok.com/@qwelpix/video/7593514968255958293,#loser
https://www.tiktok.com/@qwelpix/video/7593514968255958293,#losercore
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#mecore
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#core
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#fyp
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#edit
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#foryoupage
https://www.tiktok.com/@stabmetopieces/video/7580387096259546381,#relatable
https://www.tiktok.com/@stabmetopieces/video/7580387096259546381,#xyzbca
https://www.tiktok.com/@stabmetopieces/video/7580387096259546381,#deadbydaylight
https://www.tiktok.com/@k1rosin41_zxc/video/7587075310605176082,#loser
https://www.tiktok.com/@k1rosin41_zxc/video/7587075310605176082,#corecore
https://www.tiktok.com/@k1rosin41_zxc/video/7587075310605176082,#losercore
https://www.tiktok.com/@k1rosin41_zxc/video/7587075310605176082,#лузеркор
https://www.tiktok.com/@k1rosin41_zxc/video/7587075310605176082,#fyp
https://www.tiktok.com/@andr4wxx/video/7614451362901921046,#loser
https://www.tiktok.com/@t3chychan/video/7542527934347676942,#fy
https://www.tiktok.com/@t3chychan/video/7542527934347676942,#grapeawareness
https://www.tiktok.com/@t3chychan/video/7542527934347676942,#saawarenes
https://www.tiktok.com/@t3chychan/video/7542527934347676942,#xyzbca
https://www.tiktok.com/@dikiy_jelud/video/7590485793106414868,#losercore
https://www.tiktok.com/@dikiy_jelud/video/7590485793106414868,#fyp
https://www.tiktok.com/@dikiy_jelud/video/7590485793106414868,#olderbrothercore
https://www.tiktok.com/@dikiy_jelud/video/7590485793106414868,#loser
https://www.tiktok.com/@dikiy_jelud/video/7590485793106414868,#nerd
https://www.tiktok.com/@a.motivated.individual/video/7427439176796130578,#kakyoin
https://www.tiktok.com/@a.motivated.individual/video/7427439176796130578,#death
https://www.tiktok.com/@a.motivated.individual/video/7427439176796130578,#kakyoinsdeath
https://www.tiktok.com/@a.motivated.individual/video/7427439176796130578,#jojo
https://www.tiktok.com/@a.motivated.individual/video/7427439176796130578,#jojosbizarreadventure
https://www.tiktok.com/@a.motivated.individual/video/7427439176796130578,#jojokakyoin
https://www.tiktok.com/@a.motivated.individual/video/7427439176796130578,#kakyoinnoriaki
https://www.tiktok.com/@_whindersson_nunes_/video/7228751835790724357,#frase
https://www.tiktok.com/@_whindersson_nunes_/video/7228751835790724357,#sozinho
https://www.tiktok.com/@_whindersson_nunes_/video/7228751835790724357,#triste
https://www.tiktok.com/@aspirin1991_/video/7570058697003650324,#weezer
https://www.tiktok.com/@aspirin1991_/video/7570058697003650324,#щитпост
https://www.tiktok.com/@aspirin1991_/video/7570058697003650324,#loosercore
https://www.tiktok.com/@aspirin1991_/video/7570058697003650324,#lyrics_songs
https://www.tiktok.com/@aspirin1991_/video/7570058697003650324,#щп
https://www.tiktok.com/@aspirin1991_/video/7570058697003650324,#визер
https://www.tiktok.com/@aspirin1991_/video/7570058697003650324,#acrossthesea
https://www.tiktok.com/@aspirin1991_/video/7570058697003650324,#acrosstheseaweezer
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#bleh
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#loser
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#losercore
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#ilovemusic
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#music
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#wifiskeleton
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#ripn
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#fyp
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#sad
https://www.tiktok.com/@nomoredrugs.me/video/7597879141484088631,#real
https://www.tiktok.com/@coursie999/video/7610486427129793810,#corecore
https://www.tiktok.com/@coursie999/video/7610486427129793810,#edit
https://www.tiktok.com/@coursie999/video/7610486427129793810,#corecoreedit
https://www.tiktok.com/@coursie999/video/7610486427129793810,#coreedit
https://www.tiktok.com/@coursie999/video/7610486427129793810,#core
https://www.tiktok.com/@kuniisi/video/7611259819009363208,#losercore
https://www.tiktok.com/@kuniisi/video/7611259819009363208,#konosuba
https://www.tiktok.com/@kuniisi/video/7611259819009363208,#рек
https://www.tiktok.com/@kuniisi/video/7611259819009363208,#щп
https://www.tiktok.com/@kuniisi/video/7611259819009363208,#аниме
https://www.tiktok.com/@vinegar207/video/7586404667270204684,#losercore
https://www.tiktok.com/@vinegar207/video/7586404667270204684,#corecore
https://www.tiktok.com/@vinegar207/video/7586404667270204684,#mecore
https://www.tiktok.com/@vinegar207/video/7586404667270204684,#fyp
https://www.tiktok.com/@vinegar207/video/7586404667270204684,#fypシ
https://www.tiktok.com/@sleepingnatur_/video/7613482921634139412,#communityreal
https://www.tiktok.com/@sleepingnatur_/video/7613482921634139412,#corecore
https://www.tiktok.com/@sleepingnatur_/video/7613482921634139412,#hope
https://www.tiktok.com/@sleepingnatur_/video/7613482921634139412,#sadcore
https://www.tiktok.com/@sleepingnatur_/video/7613482921634139412,#fyp
https://www.tiktok.com/@sleepingnatur_/video/7613482921634139412,#рекомендации
https://www.tiktok.com/@fmejy/video/7592032341179059477,#bojack
https://www.tiktok.com/@fmejy/video/7592032341179059477,#bojackhorseman
https://www.tiktok.com/@fmejy/video/7592032341179059477,#losercore
https://www.tiktok.com/@fmejy/video/7592032341179059477,#corecore
https://www.tiktok.com/@fmejy/video/7592032341179059477,#mecore
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#fyp
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#basketball
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#sadcore
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#corecore
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#losercore
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#sadcore
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#core
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#losercore
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#corecore
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#basketball
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#corecore
https://www.tiktok.com/@0rewuar/video/7613458478144802079,#sadcore
https://www.tiktok.com/@alissongrace/video/7597438588812414216,#moodboard
https://www.tiktok.com/@alissongrace/video/7597438588812414216,#pinterest
https://www.tiktok.com/@alissongrace/video/7597438588812414216,#aesthetic
https://www.tiktok.com/@alissongrace/video/7597438588812414216,#downtown
https://www.tiktok.com/@alissongrace/video/7597438588812414216,#losercore
https://www.tiktok.com/@skinncells/video/7565560046428507403,#fyp
https://www.tiktok.com/@skinncells/video/7565560046428507403,#foryoupage
https://www.tiktok.com/@skinncells/video/7565560046428507403,#losercore
