video_link,hashtag
https://www.tiktok.com/@beforeanangel/video/7607997697148177671,#real
https://www.tiktok.com/@beforeanangel/video/7607997697148177671,#relatable
https://www.tiktok.com/@beforeanangel/video/7607997697148177671,#loser
https://www.tiktok.com/@beforeanangel/video/7607997697148177671,#losercore
https://www.tiktok.com/@zkh.hzk/video/7556575604800376072,#japan
https://www.tiktok.com/@zkh.hzk/video/7556575604800376072,#infj
https://www.tiktok.com/@zkh.hzk/video/7556575604800376072,#juminocore
https://www.tiktok.com/@zkh.hzk/video/7556575604800376072,#foryou
https://www.tiktok.com/@zkh.hzk/video/7556575604800376072,#fypシ゚
https://www.tiktok.com/@depressaocomcafe728/video/7607629377500761365,#sidskins
https://www.tiktok.com/@depressaocomcafe728/video/7607629377500761365,#retable
https://www.tiktok.com/@depressaocomcafe728/video/7607629377500761365,#corecore
https://www.tiktok.com/@depressaocomcafe728/video/7607629377500761365,#zxycba
https://www.tiktok.com/@_dextermorgan_149_/video/7604918673601727764,#sadcore
https://www.tiktok.com/@_dextermorgan_149_/video/7604918673601727764,#losercore
https://www.tiktok.com/@_dextermorgan_149_/video/7604918673601727764,#corecore
https://www.tiktok.com/@_dextermorgan_149_/video/7604918673601727764,#mecore
https://www.tiktok.com/@_dextermorgan_149_/video/7604918673601727764,#foryou
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#edit
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#edits
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#fyp
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#viral
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#game
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#anime
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#Doom
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#halo
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#needforspeed
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#cryoffear
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#jujutsukaisen
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,#devilmaycry
https://www.tiktok.com/@sablya.s/video/7553919253687160086,#CapCut
https://www.tiktok.com/@sablya.s/video/7553919253687160086,#losercore
https://www.tiktok.com/@sablya.s/video/7553919253687160086,#weirdcore
https://www.tiktok.com/@sablya.s/video/7553919253687160086,#southpark
https://www.tiktok.com/@sablya.s/video/7553919253687160086,#щп
