video_link,criador,descricao,likes,comentarios,compartilhamentos,salvamentos,visualizacoes,data_publicacao,data_texto_raw,musica,duracao,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,videos_recomendados,hashtags,grupo_origem,timestamp_coleta
https://www.tiktok.com/@jxcquelinelr/video/7574990816880364808,,"me encantaaaaa, solo siento que al caminar todos tus trinkets se van a resbalar,,",653.0,7.0,22.0,,,· 2025-11-20,· 2025-11-20,Berghain - ROSALÍA & Björk & Yves Tumor,,False,True,True,True,False,False,,[],TRINKET,2026-03-20 03:28:07
https://www.tiktok.com/@beforeanangel/video/7607997697148177671,,#real #relatable #loser #losercore ,253.0,4.0,12.0,,,· 2-17,· 2-17,,,False,True,True,True,False,False,,"['#real', '#relatable', '#loser', '#losercore']",LOSER,2026-03-20 03:28:18
https://www.tiktok.com/@mytocawishes/video/7574118171863420191,,,,,,,,,,,,False,True,True,True,False,False,,[],JUMINO,2026-03-20 03:28:28
https://www.tiktok.com/@zkh.hzk/video/7556575604800376072,,Just #japan #infj #juminocore #foryou #fypシ゚ ,248.0,5.0,7.0,,,· 2025-10-2,· 2025-10-2,,,False,True,True,True,False,False,,"['#japan', '#infj', '#juminocore', '#foryou', '#fypシ゚']",JUMINO,2026-03-20 03:28:34
https://www.tiktok.com/@depressaocomcafe728/video/7607629377500761365,,I'm a loser #sidskins #retable #corecore #zxycba ,2020.0,13.0,116.0,,,· 2-16,· 2-16,som original - b,,False,True,True,True,False,False,,"['#sidskins', '#retable', '#corecore', '#zxycba']",LOSER,2026-03-20 03:28:43
https://www.tiktok.com/@ko.kumas/video/7400805272144416030,,,,,,,,,,,,False,True,True,True,False,False,,[],TRINKET,2026-03-20 03:28:54
https://www.tiktok.com/@_dextermorgan_149_/video/7604918673601727764,,Жалко мужика#sadcore#losercore#corecore#mecore#foryou,51100.0,644.0,4393.0,,,· 2-9,· 2-9,,,False,True,True,True,True,False,,"['#sadcore', '#losercore', '#corecore', '#mecore', '#foryou']",LOSER,2026-03-20 03:29:06
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,,Loser core edit #edit #edits #fyp #viral #game #anime #Doom #halo #needforspeed #cryoffear #jujutsukaisen #devilmaycry ,289600.0,1037.0,18000.0,,,· 2025-11-2,· 2025-11-2,,,False,True,True,True,False,False,,"['#edit', '#edits', '#fyp', '#viral', '#game', '#anime', '#Doom', '#halo', '#needforspeed', '#cryoffear', '#jujutsukaisen', '#devilmaycry']",LOSER,2026-03-20 03:29:17
https://www.tiktok.com/@prajwaldsa99/video/7580875228578974984,,,,,,,,,,,,False,True,True,True,False,False,,[],LOSER,2026-03-20 03:29:27
https://www.tiktok.com/@sablya.s/video/7553919253687160086,,#CapCut #losercore #weirdcore #southpark #щп #щитпост #эдит #френбоу #franbow #эйарнольд #брайнмапс ,611200.0,1834.0,24300.0,,,· 2025-9-25,· 2025-9-25,loser core - newtferatu,,False,True,True,True,True,False,,"['#CapCut', '#losercore', '#weirdcore', '#southpark', '#щп', '#щитпост', '#эдит', '#френбоу', '#franbow', '#эйарнольд', '#брайнмапс']",LOSER,2026-03-20 03:29:37
https://www.tiktok.com/@jumino.mel.official/video/7584662982089575700,,#juminocore #heiseiretro #juminocore🍈🍙🍥🍡 #jumino ,40.0,1.0,1.0,,,· 2025-12-17,· 2025-12-17,som original - 🍡🍮jumino mel🍥🍧,,False,True,True,True,False,False,,"['#juminocore', '#heiseiretro', '#juminocore🍈🍙🍥🍡', '#jumino']",JUMINO,2026-03-20 03:29:47
https://www.tiktok.com/@cadencelovesshopkins/video/7526717056381865229,,@MooseToys,54600.0,464.0,9662.0,,,· 2025-7-13,· 2025-7-13,Lean On - Major Lazer / MØ / DJ Snake,,False,True,True,True,False,False,,[],TRINKET,2026-03-20 03:29:55
https://www.tiktok.com/@chrimson_fire/video/7539786167382838541,,STAWP I’m still unpacking 😔😩😭 ||#Losercore || #abcxyz #fypシ゚viral,68.0,10.0,2.0,,,· 2025-8-18,· 2025-8-18,Buddy Holly - Weezer,,False,True,True,True,False,False,,"['#Losercore', '#abcxyz', '#fypシ゚viral']",LOSER,2026-03-20 03:30:06
https://www.tiktok.com/@bommygaming/video/7526924597632060702,,"Losercore

#fyp #losercore #viral #edit ",245.0,1.0,2.0,,,· 2025-7-14,· 2025-7-14,,,False,True,True,True,False,False,,"['#fyp', '#losercore', '#viral', '#edit']",LOSER,2026-03-20 03:30:16
https://www.tiktok.com/@dollcholyy/video/7557962420266749191,,I managed to survive the day. I don't know how much longer I can hold on . .,3239.0,67.0,81.0,,,· 2025-10-6,· 2025-10-6,,,False,True,True,True,False,False,,[],LOSER,2026-03-20 03:30:23
