video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@bysecretangel/video/7614167509754973460,bysecretangel,"2000’s yoga aesthetic 🧘🏻‍♀️🪷🍵
#yoga #aesthetic #2000s #yogagirl #fyp ",795,3,0.0,,,False,False,False,False,False,False,"['yoga', 'aesthetic', '2000s', 'yogagirl', 'fyp']",2026-04-13 15:39:48
https://www.tiktok.com/@.diary.of.a.fawne/video/7627427861493861654,.diary.of.a.fawne,"Let’s bring back this aesthetic 

#2000s #yoga #fyp #goviral ",334,0,0.0,,,False,False,False,False,False,False,"['2000s', 'yoga', 'fyp', 'goviral']",2026-04-13 15:39:54
https://www.tiktok.com/@influwannabe/video/7623328561193094433,influwannabe,All I need is a matcha now 🍵 🧘🏼‍♀️ #yogaaesthetic #yogamom ,1037,9,0.0,,,False,False,False,False,False,False,"['yogaaesthetic', 'yogamom']",2026-04-13 15:40:01
https://www.tiktok.com/@user1843420/video/7598808486360763679,user1843420,#2000s #yoga #yogainstructor #nostalgia #fyp ,58900,79,0.0,,,False,False,False,False,False,False,"['2000s', 'yoga', 'yogainstructor', 'nostalgia', 'fyp']",2026-04-13 15:40:07
https://www.tiktok.com/@soft.angel.wings.sienna/video/7624487791447018774,soft.angel.wings.sienna,#zen #yoga #2000syogamomaesthetic #yogainstructor #fyp,83,0,0.0,,,False,False,False,False,False,False,"['zen', 'yoga', '2000syogamomaesthetic', 'yogainstructor', 'fyp']",2026-04-13 15:40:12
https://www.tiktok.com/@swag..unicorn/video/7619832705395526942,swag..unicorn,I love yoga #fyp #2000s #spring #aesthetic #yogaaesthetic ,2919,3,0.0,,,False,False,False,False,False,False,"['fyp', '2000s', 'spring', 'aesthetic', 'yogaaesthetic']",2026-04-13 15:40:17
https://www.tiktok.com/@thestarofpinterest/video/7604166420129139990,thestarofpinterest,#2000syoga #aesthetic #y2k #yogainstructor #vibe ,3006,4,0.0,,,False,False,False,False,False,False,"['2000syoga', 'aesthetic', 'y2k', 'yogainstructor', 'vibe']",2026-04-13 15:40:24
https://www.tiktok.com/@bombshell_candle/video/7622526550209989902,bombshell_candle,Yoga 2000s aesthetic #2000 #fyp #yoga #buddha #lotus 🪷💆🏻‍♀️🧎🏻‍♀️‍➡️🎍,70,1,0.0,,,False,False,False,False,False,False,"['2000', 'fyp', 'yoga', 'buddha', 'lotus']",2026-04-13 15:40:30
https://www.tiktok.com/@kimberlyangelxoxoooooo/video/7619072990231317780,kimberlyangelxoxoooooo,#yoga #2000yogaaesthetic ,123,0,0.0,,,False,False,False,False,False,False,"['yoga', '2000yogaaesthetic']",2026-04-13 15:40:35
https://www.tiktok.com/@eunicornnn_/video/7585338899128470797,eunicornnn_,"With Pilates and walk clubs taking over 2025, 2026 is the year of yoga. The Zen-X aesthetic gives Gen z comfort, allows talks of environmental justice, and opens the door for deeper understanding of one’s body. Have you seen it yet? Let me know in the comments. ",25000,228,0.0,,,False,False,False,False,False,False,[],2026-04-13 15:40:41
https://www.tiktok.com/@etherialkay/video/7625021341053275406,etherialkay,#2000s #yoga #2000syogaaesthetic #yogamom ,667,4,0.0,,,False,False,False,False,False,False,"['2000s', 'yoga', '2000syogaaesthetic', 'yogamom']",2026-04-13 15:40:47
