video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@ygaminw/video/7576472876199447839,,falling like the last leaves of autumn 🍂 #lastleavesofautmn ,203.0,0.0,,,,False,False,False,False,False,False,['#lastleavesofautmn'],2026-04-11 20:41:34
https://www.tiktok.com/@lalagirl114/video/7604892962992033054,,dark autumn vibes & outfit inspo 🧸🤎 #darkautumn #autumnoutfits,,,,,,False,False,False,False,False,False,"['#darkautumn', '#autumnoutfits']",2026-04-11 20:41:46
https://www.tiktok.com/@salvatoreediaries/video/7482468915625430315,,autumn | #prettylittleliars #gilmoregirls #thevampirediaries #gossipgirl #fall #autumn #fallaesthetic #pll #tvd #fyp #foryoupage ,29400.0,53.0,,,,False,False,False,False,False,False,"['#prettylittleliars', '#gilmoregirls', '#thevampirediaries', '#gossipgirl', '#fall', '#autumn', '#fallaesthetic', '#pll', '#tvd', '#fyp', '#foryoupage']",2026-04-11 20:41:57
https://www.tiktok.com/@withlovekourtney/video/7262046517639482670,,just thinking about the fall time makes me so happy — i can’t wait for it to arrive 🍂🕯☕️🌧🥧🎃🐈‍⬛,229000.0,1477.0,,,,False,False,False,False,False,False,[],2026-04-11 20:42:09
https://www.tiktok.com/@_natalikim/video/7415977971535580458,,"day 4 of fall outfits ✨

#fallfashion #getreadywithme ",19700.0,82.0,,,,False,True,False,False,False,False,"['#fallfashion', '#getreadywithme']",2026-04-11 20:42:20
https://www.tiktok.com/@stvvr.girl/video/7500496087485271318,,"🍂🎞️🚬☁️
#autumn #aesthetic #foryou #xyzabc #viral #pinterest #vibes #morning #autumn #fall #autumnvibes ",52500.0,204.0,,,,False,False,False,False,False,False,"['#autumn', '#aesthetic', '#foryou', '#xyzabc', '#viral', '#pinterest', '#vibes', '#morning', '#autumn', '#fall', '#autumnvibes']",2026-04-11 20:42:31
https://www.tiktok.com/@fiimuty/video/7563758319806975244,,🍂☕️#aestheticvideos #pinterestinspo #fiimuty #autumn #study ,91300.0,141.0,,,,False,False,False,False,False,False,"['#aestheticvideos', '#pinterestinspo', '#fiimuty', '#autumn', '#study']",2026-04-11 20:42:42
https://www.tiktok.com/@dianapetale/video/7545974477901794592,,"cosy autumn morning 🤎📖🍂✨
@SKIN1004 US 
#cleangirl #autumn ",17600.0,342.0,,,,False,False,False,False,False,False,"['#cleangirl', '#autumn']",2026-04-11 20:42:53
https://www.tiktok.com/@ladyyebony/video/7556635615752719638,,🕯️🎞️✨ #classyoutfit #elegant #autumnstyle #oldmoneyoutfits ,5432.0,28.0,,,,False,False,False,False,False,False,"['#classyoutfit', '#elegant', '#autumnstyle', '#oldmoneyoutfits']",2026-04-11 20:43:02
https://www.tiktok.com/@cakxccx/video/7142489502496460038,,it's finally autumn! • #darknaturalism #darknature #darknaturalism♡ #darknatureaesthetics #aesthetic #littledarkage ,3062.0,11.0,,,,False,False,False,False,False,False,"['#darknaturalism', '#darknature', '#darknaturalism♡', '#darknatureaesthetics', '#aesthetic', '#littledarkage']",2026-04-11 20:43:12
https://www.tiktok.com/@tosha_vorslov/video/7562917146095897912,,"Autumn outfit 🍂🤎
#lookoftheday #ootd #fallfashion #aesthetic ",2985.0,34.0,,,,False,False,False,False,False,False,"['#lookoftheday', '#ootd', '#fallfashion', '#aesthetic']",2026-04-11 20:43:24
https://www.tiktok.com/@cosyandslow/video/7492565751514008854,,#autumn #october #autumn #vibe #fall #pumpkinseason ,218300.0,1122.0,,,,False,False,False,False,False,False,"['#autumn', '#october', '#autumn', '#vibe', '#fall', '#pumpkinseason']",2026-04-11 20:43:33
https://www.tiktok.com/@mysticring/video/7419715787918691616,,"almost time for the autumn rewatch of tvd, gg, and pll • #tvd #thevampirediaries #autumn #fall #edit #fyp #foryoupage ",649400.0,1892.0,,,,False,False,False,False,False,False,"['#tvd', '#thevampirediaries', '#autumn', '#fall', '#edit', '#fyp', '#foryoupage']",2026-04-11 20:43:43
https://www.tiktok.com/@kirasdigital/video/7604303752878705950,,#digitalcamera #aesthetic #pinterest #garden #flowers,153600.0,103.0,,,,False,False,False,False,False,False,"['#digitalcamera', '#aesthetic', '#pinterest', '#garden', '#flowers']",2026-04-11 20:43:51
https://www.tiktok.com/@sophrose21/video/7543338891374333214,,#autumn #fallaesthetic #fallmoodboard #targetaudience #moodboardaesthetic ,26500.0,39.0,,,,False,False,False,False,False,False,"['#autumn', '#fallaesthetic', '#fallmoodboard', '#targetaudience', '#moodboardaesthetic']",2026-04-11 20:44:02
https://www.tiktok.com/@ameliasliars/video/7406267118599163169,,Autumn in rosewood 🍁🍂☕️ #fyp #foryou #xbycza #aesthetic #foryoupage #viral #viralvideo #prettylittleliars #plledit #pll ,6322.0,21.0,,,,False,False,False,False,False,False,"['#fyp', '#foryou', '#xbycza', '#aesthetic', '#foryoupage', '#viral', '#viralvideo', '#prettylittleliars', '#plledit', '#pll']",2026-04-11 20:44:12
https://www.tiktok.com/@hollyjai_/video/7556647323460242710,,"autumn outfit ideas!!🫶🏼🍂 
@prettylittlething adv #autumn #outfits ",16000.0,79.0,,,,False,True,False,False,False,False,"['#autumn', '#outfits']",2026-04-11 20:44:23
https://www.tiktok.com/@asthetic.girl5216/video/7588508183803514133,,,45.0,7.0,,,,False,False,False,False,False,False,[],2026-04-11 20:44:32
https://www.tiktok.com/@mazena_zuk/video/7278695401388117281,,captions for u💌 #captionideas #captionsforinstagram #autumn ,2534.0,27.0,,,,False,False,False,False,False,False,"['#captionideas', '#captionsforinstagram', '#autumn']",2026-04-11 20:44:39
https://www.tiktok.com/@finefashun/video/7139558879947427078,,this took so long haha #fyp #fypシ #pinterest #outfitinspo ,259200.0,187.0,,,,False,False,False,False,False,False,"['#fyp', '#fypシ', '#pinterest', '#outfitinspo']",2026-04-11 20:44:49
https://www.tiktok.com/@sophiaaevelynn/video/7420221717924023583,,New York last November 🍂👢#newyork #autumn #nyc #fall ,167700.0,261.0,,,,False,False,False,False,False,False,"['#newyork', '#autumn', '#nyc', '#fall']",2026-04-11 20:45:01
https://www.tiktok.com/@chasiteyy/video/7373683438613826859,,"alright friends, you know the drill! When it storms, we play pretend that it’s autumn! 🍂⛈️🤎",1100000.0,3527.0,,,,False,False,False,False,False,False,[],2026-04-11 20:45:12
https://www.tiktok.com/@spiralinwitch/video/7611915567947189511,,#autmngirlaesthetic #autumnaesthetic #early2000s #moodboard #fyp ,279.0,3.0,,,,False,False,False,False,False,False,"['#autmngirlaesthetic', '#autumnaesthetic', '#early2000s', '#moodboard', '#fyp']",2026-04-11 20:45:22
https://www.tiktok.com/@miihhhyamm/video/7613405404311112968,,#CapCut | just a template! #templatecapcut #filteraesthetic ,885.0,6.0,,,,False,False,False,False,False,False,"['#CapCut', '#templatecapcut', '#filteraesthetic']",2026-04-11 20:45:31
https://www.tiktok.com/@insp0cutie/video/7537699151769865527,,~ fall pfp ideas! ~ sorry for not posting xx — #viral #fall ,2082.0,24.0,,,,False,False,False,False,False,False,"['#viral', '#fall']",2026-04-11 20:45:40
https://www.tiktok.com/@pinterest_diary/video/7581959080953138435,,she's an autumn girl ⋆.˚𖦹⋆✮⋆.˚ #autumn #fall #fyp #cozy #aestheticvideos ,833.0,12.0,,,,False,False,False,False,False,False,"['#autumn', '#fall', '#fyp', '#cozy', '#aestheticvideos']",2026-04-11 20:45:51
https://www.tiktok.com/@maciuzet/video/7300337076002622753,,Rain forest walk #rainforest #autumnvibes #walkforest #darkforest ,1397.0,10.0,,,,False,False,False,False,False,False,"['#rainforest', '#autumnvibes', '#walkforest', '#darkforest']",2026-04-11 20:46:34
https://www.tiktok.com/@filmqs6/video/7557389958714117407,,coffee shops during the autumn are always the coziest🍂🎃 #autumn #autumnaesthetic #pinterest #coffee #fyp ,,,,,,False,False,True,False,False,False,"['#autumn', '#autumnaesthetic', '#pinterest', '#coffee', '#fyp']",2026-04-11 20:47:08
https://www.tiktok.com/@dreya.vfx/video/7596010505504836886,,TBH #edit #aesthetics #paris #tokyo ,122300.0,103.0,,,,False,False,False,False,False,False,"['#edit', '#aesthetics', '#paris', '#tokyo']",2026-04-11 20:47:18
https://www.tiktok.com/@shabbysonny/video/7531010646238825759,,- Autumn 🎀 #pink #aesthetic #autumnvibes #shabbychic #fallfashion ,5020.0,32.0,,,,False,False,False,False,False,False,"['#pink', '#aesthetic', '#autumnvibes', '#shabbychic', '#fallfashion']",2026-04-11 20:47:53
