video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@odayconhieudoxinh40/video/7338412423893863688,,"Phong cách coquette siêu xinh dành cho nàng ""bánh bèo"" 🌹",16100.0,127.0,,,,False,False,False,False,False,False,[],2026-03-25 03:45:05
https://www.tiktok.com/@.stanee_/video/7438305492830588216,,amo esse filme // #coraline #coralineedit #edit #coralinejones #coralineeomundosecreto #aesthetic #movie #coralinemovie #vibes #lyricsvideo ,127500.0,598.0,,,,False,False,False,False,False,False,"['#coraline', '#coralineedit', '#edit', '#coralinejones', '#coralineeomundosecreto', '#aesthetic', '#movie', '#coralinemovie', '#vibes', '#lyricsvideo']",2026-03-25 03:45:16
https://www.tiktok.com/@libracores/video/7430542204516568353,,angel. #fyp #foryou #aesthetic #moodboard #moodboardaesthetic #weirdcore #pinterest #tumblr #japancore #viral ,18100.0,30.0,,,,False,False,False,False,False,False,"['#fyp', '#foryou', '#aesthetic', '#moodboard', '#moodboardaesthetic', '#weirdcore', '#pinterest', '#tumblr', '#japancore', '#viral']",2026-03-25 03:45:27
https://www.tiktok.com/@luvdannii/video/7458050232425680158,,"hello kitty room ⋆𐙚₊˚⊹♡
-
-
#foryoupage ##fyp #pink #coquette ",189400.0,2281.0,,,,False,False,False,False,False,False,"['#foryoupage', '#fyp', '#pink', '#coquette']",2026-03-25 03:45:37
https://www.tiktok.com/@sn0wite/video/7530837888947244318,,You’ll catch me in this pj set every night from now on,14500.0,9.0,,,,False,False,False,False,False,False,[],2026-03-25 03:45:49
https://www.tiktok.com/@l1ttledolly/video/7568992552834157836,,#lanadelrey #coquette #edit #fyp #foryou ,299.0,0.0,,,,False,True,False,False,False,False,"['#lanadelrey', '#coquette', '#edit', '#fyp', '#foryou']",2026-03-25 03:46:01
https://www.tiktok.com/@peach69028/video/7548227333069606200,,"in Lana del Rey state of mind 🎼❕
#lanadelrey #darkaesthetic  #fyppppppppppppppppppppppp #moodboard #xybca ",1618.0,4.0,,,,False,True,False,False,False,False,"['#lanadelrey', '#darkaesthetic', '#fyppppppppppppppppppppppp', '#moodboard', '#xybca']",2026-03-25 03:46:13
https://www.tiktok.com/@leaked_diary/video/7538190260082101526,,#nature #darkaesthetic #natureaesthetic #fyp ,67800.0,378.0,,,,False,False,False,False,False,False,"['#nature', '#darkaesthetic', '#natureaesthetic', '#fyp']",2026-03-25 03:46:21
https://www.tiktok.com/@lulu.hhhb/video/7577239199791779102,,#SOPHIEWOODHOUSE,980.0,4.0,,,,False,False,False,False,False,False,['#SOPHIEWOODHOUSE'],2026-03-25 03:46:33
https://www.tiktok.com/@jocabedespinoza/video/7368572026145000710,,I like the way… ✨🎀 #xybca #coquette #blonde #fyp #coquettegirl ,694.0,11.0,,,,False,False,False,False,False,False,"['#xybca', '#coquette', '#blonde', '#fyp', '#coquettegirl']",2026-03-25 03:46:45
