video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@lushacraft/video/7543004636723105080,,tutorial de COTTAGE HOUSE no minecraft!! #minecraft ,149600.0,1474.0,,,,False,False,False,False,False,False,['#minecraft'],2026-03-23 15:48:55
https://www.tiktok.com/@silentrefuges/video/7469960565096500485,,"The light fades, and what remains  
is not the sky, but the quiet change.  
A fleeting pulse, a thought unspoken,  ",22900.0,335.0,,,,False,True,False,False,False,False,[],2026-03-23 15:49:15
https://www.tiktok.com/@iceddoublechocolate/video/7206149632810880283,,This is for my cottagecore girlies #cottagecore ,853.0,4.0,,,,False,False,False,False,False,False,['#cottagecore'],2026-03-23 15:49:40
https://www.tiktok.com/@silentrefuges/video/7587772668913487112,,"Beginnings are not made of force.
They arrive when what is unnecessary loosens its grip,
and what remains
is light enough to continue.

#landscape ",171700.0,323.0,,,,False,True,False,False,False,False,['#landscape'],2026-03-23 15:49:54
https://www.tiktok.com/@lydsbutler/video/7325430218670230817,,Cottage core wardrobe 🧸🎀🧺👱‍♀️🍰 ,55700.0,95.0,,,,False,False,False,False,False,False,[],2026-03-23 15:50:03
https://www.tiktok.com/@aclotheshorse/video/7535163188095094038,,the hydrangea crown🦋 dreamiest @Selkie,,,,,,False,False,False,False,False,False,[],2026-03-23 15:50:13
https://www.tiktok.com/@fotober/video/7383671432418544939,,Editing for a customer who lives in a dream #cottagecore #videoedit ,39.0,4.0,,,,False,False,False,False,False,False,"['#cottagecore', '#videoedit']",2026-03-23 15:50:20
https://www.tiktok.com/@homeschoolwithmartinezes/video/7594948216131538231,,"In love with this dress 💙 @neuflora 

#homemakerlifestyle ",18.0,4.0,,,,False,False,False,False,False,False,['#homemakerlifestyle'],2026-03-23 15:50:32
https://www.tiktok.com/@baileymstewart/video/7508784733925412127,,"Summer bedding refresh! From 🌊👵🏻🩵🪺 to 💕🎀🏠🌷 

#bedding ",81900.0,450.0,,,,False,False,False,False,False,False,['#bedding'],2026-03-23 15:50:44
https://www.tiktok.com/@_bunn11_/video/7564972438614838559,,૮⸝⸝ᴗ͈ ‸ ᴗ͈⸝⸝ა my room looks like poop૮₍◞‸◟₎ა also the cat on the wall IS NOT REAL ITS A BACKPACK 😭,8579.0,41.0,,,,False,False,False,False,False,False,[],2026-03-23 15:50:56
https://www.tiktok.com/@frenchfever/video/7547823656613776658,,midsize outfit of the day 🎀🪞🩰🦢🕯️ wearing the ‘lubela set’ from ,1668.0,18.0,,,,False,False,False,False,False,False,[],2026-03-23 15:51:07
https://www.tiktok.com/@cottagecreators/video/7102297540711681286,,Sunset visit to the Water’s Edge treehouse - it’s such a beauty it’s hard to believe it’s real ,43.0,3.0,,,,False,False,False,False,False,False,[],2026-03-23 15:51:17
https://www.tiktok.com/@ailscreativejourney/video/7457563167351262496,,"Through the storm 🌊☁️

#animation #animationtiktok #kling ",290.0,28.0,,,,False,False,False,False,False,False,"['#animation', '#animationtiktok', '#kling']",2026-03-23 15:51:28
https://www.tiktok.com/@__beanandbear__/video/7618294638557826326,,"When the countryside calls 🌿👒   

#englishcountryside #england ",361.0,6.0,,,,False,False,False,False,False,False,"['#englishcountryside', '#england']",2026-03-23 15:51:36
https://www.tiktok.com/@madebyvictorias/video/7517795847149587743,,berry picking season 🫐🍓🧚🏼#creatorsearchinsights   #gardencore ,832.0,41.0,,,,False,False,False,False,False,False,"['#creatorsearchinsights', '#gardencore']",2026-03-23 15:51:46
https://www.tiktok.com/@dinaraa.l/video/7470156582559567112,,"Cottagecore day🎀🪞🧁

#fypage #cottagecore #fyppp ",22600.0,161.0,,,,False,False,False,False,False,False,"['#fypage', '#cottagecore', '#fyppp']",2026-03-23 15:51:56
https://www.tiktok.com/@serenity_coziness/video/7619807593342438678,,Truly the prettiest and calmest season 🌼🌷 #fyp #countryside ,528.0,6.0,,,,False,False,False,False,False,False,"['#fyp', '#countryside']",2026-03-23 15:52:05
https://www.tiktok.com/@lifeinmylane03/video/7452772921837210912,,"living the stevie nicks dream at tyn y simdde 🧚🔮

#vintage #cottage ",114600.0,579.0,,,,False,False,False,False,False,False,"['#vintage', '#cottage']",2026-03-23 15:52:14
