video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@alpine.soul/video/7428975771026312490,,"The kind of sunrise that stops me dead in my tracks, and leaves me awestruck ☕️✨ ",295500,2029.0,,,,False,True,False,False,False,False,[],2026-04-09 22:37:20
https://www.tiktok.com/@iheartnewyorkcityy/video/7439467006786637088,,love travelling | #travel #world #country #travelling #traveltok #city ,355800,985.0,,,,False,False,False,False,False,False,"['#travel', '#world', '#country', '#travelling', '#traveltok', '#city']",2026-04-09 22:37:29
https://www.tiktok.com/@jessamongthewild/video/7499875413854866731,,the quiet moments of april 🤍 #slowliving #countryside #spring ,36600,175.0,,,,False,False,False,False,False,False,"['#slowliving', '#countryside', '#spring']",2026-04-09 22:37:39
https://www.tiktok.com/@ryguy123452/video/7623442936084122911,,#countryroads #edit #aesthetic #nature #love ,15,0.0,,,,False,True,False,False,False,False,"['#countryroads', '#edit', '#aesthetic', '#nature', '#love']",2026-04-09 22:37:50
https://www.tiktok.com/@rosehillonspencer/video/7618206737329327391,,SPRING ✨ #dreamlife #dreamgarden #countrylife ,414,13.0,,,,False,False,False,False,False,False,"['#dreamlife', '#dreamgarden', '#countrylife']",2026-04-09 22:37:59
https://www.tiktok.com/@secret_spz/video/7611746152492436750,,#fyp #countrymusic #countrygirl #country #aesthetic ,6002,4.0,,,,False,False,False,False,False,False,"['#fyp', '#countrymusic', '#countrygirl', '#country', '#aesthetic']",2026-04-09 22:38:09
https://www.tiktok.com/@imdeontomsx/video/7618469351120899351,,"Born to be a cowgirl 🌲🦌🤠 

#cabinvibes #countrygirl ",2757,29.0,,,,False,False,False,False,False,False,"['#cabinvibes', '#countrygirl']",2026-04-09 22:38:19
https://www.tiktok.com/@girl_with_destinity/video/7520864684275272968,,"Dream Destination Korea...💗🇰🇷
.
.
.
.
.
.
#girlwithdestinity  #koreatrip  #koreatravels  #southkorea🇰🇷 ",423400,4363.0,,,,False,False,False,False,False,False,"['#girlwithdestinity', '#koreatrip', '#koreatravels', '#southkorea🇰🇷']",2026-04-09 22:38:29
https://www.tiktok.com/@juniipermay/video/7191165249012305158,,❀˖⁺✿༶⋆˙⊹❀𐂂❀˖⁺.༶✿⋆˙⊹❀ #forest #nature #walk #trees ,840000,2706.0,,,,False,False,False,False,False,False,"['#forest', '#nature', '#walk', '#trees']",2026-04-09 22:38:35
https://www.tiktok.com/@lenas_cozy_cottage/video/7496552706736229654,,"Welcome to my dinningroom🌸

#homedecor #cottagecoreaesthetic ",765900,2480.0,,,,False,False,False,False,False,False,"['#homedecor', '#cottagecoreaesthetic']",2026-04-09 22:38:46
