video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@zoology3.0/video/7545956694531067158,zoology3.0,The eyes of the forest  👀       #zoologytok #fyp #animal #nature ,68100,2145.0,0.0,,,False,False,False,False,False,False,"['zoologytok', 'fyp', 'animal', 'nature']",2026-04-15 17:08:09
https://www.tiktok.com/@meymey.zs/video/7427898634605251873,meymey.zs,#forest#darkforest #wendigo#autumn#lumberjack ,978,3.0,0.0,,,False,False,False,False,False,False,"['forest', 'darkforest', 'wendigo', 'autumn', 'lumberjack']",2026-04-15 17:08:16
https://www.tiktok.com/@koogiluvz/video/7467711905151388934,koogiluvz,"me sinto atraída, mas nunca entraria sozinha, mas depende, ah não sei  //tenho mais outros 2 desse pra postar #aesthetic #floresta #foruyou #fypviralシ",48600,325.0,0.0,,,False,False,False,False,False,False,"['aesthetic', 'floresta', 'foruyou', 'fypviral']",2026-04-15 17:08:22
https://www.tiktok.com/@a.s.worldphoto/video/7548800146247552312,a.s.worldphoto,"Gnomes spotted in the darkness of the forest 😱

#gnomes #forest ",972,18.0,0.0,,,False,False,False,False,False,False,"['gnomes', 'forest']",2026-04-15 17:08:30
https://www.tiktok.com/@kiiirart/video/7329493435088391430,kiiirart,#naturecore #forest #darkforest #forestcore #nature ,1419,49.0,0.0,,,False,False,False,False,False,False,"['naturecore', 'forest', 'darkforest', 'forestcore', 'nature']",2026-04-15 17:08:36
https://www.tiktok.com/@darkforest_edits/video/7383256952538762528,darkforest_edits,Thank you for all the support ❤️🫶🏼#forestedit #darkaesthetic #natur #aesthetic #fyp #forestaesthetic #dark #edits #darkforest ,4640,32.0,0.0,,,False,False,False,False,False,False,"['forestedit', 'darkaesthetic', 'natur', 'aesthetic', 'fyp', 'forestaesthetic', 'dark', 'edits', 'darkforest']",2026-04-15 17:08:43
https://www.tiktok.com/@darkvibes620/video/7467169841993075975,darkvibes620,"The best driver ever in a dark forest 😱
#darkforest #vibes #driver ",63,2.0,0.0,,,False,False,False,False,False,False,"['darkforest', 'vibes', 'driver']",2026-04-15 17:08:50
https://www.tiktok.com/@gioboretti/video/7422344717242797345,gioboretti,"Walking to nowhere

#forest #darkness #night #moon #moonshine ",351,3.0,0.0,,,False,False,False,False,False,False,"['forest', 'darkness', 'night', 'moon', 'moonshine']",2026-04-15 17:08:56
https://www.tiktok.com/@julyviolett/video/7355939220009127200,julyviolett,"What I have, I don‘t want to lose,
but
where I am, I don‘t want to stay, ",546500,2788.0,0.0,,,False,False,False,False,False,False,[],2026-04-15 17:09:04
https://www.tiktok.com/@dynamic.light.official/video/7433020961718340897,dynamic.light.official,🌳#wald #forest #dark #darkforest #foru #foruyou #fürdich ,69,0.0,0.0,,,False,False,False,False,False,False,"['wald', 'forest', 'dark', 'darkforest', 'foru', 'foruyou', 'frdich']",2026-04-15 17:09:10
https://www.tiktok.com/@vibeneverdie/video/7596884639583603988,vibeneverdie,#darkaesthetic #silence ##darkside #melancholy ,9664,52.0,0.0,,,False,False,False,False,False,False,"['darkaesthetic', 'silence', 'darkside', 'melancholy']",2026-04-15 17:09:16
https://www.tiktok.com/@cakxccx/video/7300620309017709857,cakxccx,i love this sound #darknaturalism #darknaturalismaesthetic #darknaturecore #aesthetic #darknature #darkforest ,44200,129.0,0.0,,,False,False,False,False,False,False,"['darknaturalism', 'darknaturalismaesthetic', 'darknaturecore', 'aesthetic', 'darknature', 'darkforest']",2026-04-15 17:09:21
