video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@moemura.irl/video/7549789411924249870,,#moodboard #core #moodboardedit,98400.0,862.0,,,,False,False,False,False,False,False,"['#moodboard', '#core', '#moodboardedit']",2026-04-02 21:27:27
https://www.tiktok.com/@hannahbower2/video/7597876791348448525,,Why your belly domes or bulges during exercise (and how to troubleshoot it) 👇,76300.0,90.0,,,,False,False,False,False,False,False,[],2026-04-02 21:27:41
https://www.tiktok.com/@iamosmondbrown/video/7563214081478397206,,"Deep core 
#osmondbrown #core #fitness #homeworkout ",5325.0,154.0,,,,False,False,False,False,False,False,"['#osmondbrown', '#core', '#fitness', '#homeworkout']",2026-04-02 21:27:51
https://www.tiktok.com/@camcorrea/video/7521908618833317133,,Another deeprock edit #deeprockgalactic #edit #deeprock #fyp ,1572.0,28.0,,,,False,False,False,False,False,False,"['#deeprockgalactic', '#edit', '#deeprock', '#fyp']",2026-04-02 21:28:02
https://www.tiktok.com/@foggyangell/video/7510455259458768136,,Puta madre #aestheticboy #NatureVibes #DeepMood #darkedit ,6990.0,15.0,,,,False,True,False,False,False,False,"['#aestheticboy', '#NatureVibes', '#DeepMood', '#darkedit']",2026-04-02 21:28:12
https://www.tiktok.com/@vmmystery/video/7545567952662170902,,#darkaesthetic #darkfantasy #fyp ,,,,,,False,False,False,False,False,False,"['#darkaesthetic', '#darkfantasy', '#fyp']",2026-04-02 21:28:21
https://www.tiktok.com/@nato.vnz/video/7536045786958695685,,"me core

#xybca 
#fyp 
#viral 
#edit 
#simonhenriksson 
#cryoffear",374600.0,3367.0,,,,False,False,False,False,False,False,"['#xybca', '#fyp', '#viral', '#edit', '#simonhenriksson', '#cryoffear']",2026-04-02 21:28:30
https://www.tiktok.com/@withered.roots/video/7534052869322984726,,why?,415200.0,1865.0,,,,False,False,False,False,False,False,[],2026-04-02 21:28:40
https://www.tiktok.com/@deepcoreco/video/7616799389062827295,,"даю 2 шанс своей карте,надеюсь хотя бы на лайков 60 
#майнкрафт #майн #майнкрафтэдит #minecraft #minecraftedit #edit ",7673.0,61.0,,,,False,False,False,False,False,False,"['#майнкрафт', '#майн', '#майнкрафтэдит', '#minecraft', '#minecraftedit', '#edit']",2026-04-02 21:28:49
https://www.tiktok.com/@kailawenn/video/7577512335745502484,,love keeping my ab routine interesting with standing abs  ,208300.0,167.0,,,,False,False,False,False,False,False,[],2026-04-02 21:29:03
https://www.tiktok.com/@nebullineo/video/7165478980663921925,,𝖆 𝖜 𝖆 𝖐 𝖊 // #edit #weird #weirdcore #sonho #dream #dreamcore  #estranho #dreamedit #sillenthill #dreamcoreedit ,658.0,7.0,,,,False,False,False,False,False,False,"['#edit', '#weird', '#weirdcore', '#sonho', '#dream', '#dreamcore', '#estranho', '#dreamedit', '#sillenthill', '#dreamcoreedit']",2026-04-02 21:29:18
https://www.tiktok.com/@jadesarah99/video/7466920786608229640,,Try this weighted deep core workout if you want to strengthen and sculpt your core!! Full fit @dfyne.official dc  ‘SARAH’ 💙,29900.0,43.0,,,,False,False,False,False,False,False,[],2026-04-02 21:29:40
https://www.tiktok.com/@iluvraineydays/video/7465128811361865003,,the top 5 ab exercises i would recommend to see results!#abworkout ,37200.0,370.0,,,,False,False,False,False,False,False,['#abworkout'],2026-04-02 21:29:50
https://www.tiktok.com/@official_william_afton2/video/7474498758617681183,,#darkcore #edit #scary #insane  Darkcore,2.0,0.0,,,,False,False,False,False,False,False,"['#darkcore', '#edit', '#scary', '#insane']",2026-04-02 21:30:00
https://www.tiktok.com/@aestheticore111/video/7551753002697149707,,Welcome to the Dreamcore Winter Biome(part 2) #vibess #fyp ,75000.0,1190.0,,,,False,False,False,False,False,False,"['#vibess', '#fyp']",2026-04-02 21:30:08
https://www.tiktok.com/@worldsaesthetic01/video/7273668385622265130,,"🌲🌫️

#nature #aesthetic #vibes #peaceful #bluehour #forest ",5923.0,64.0,,,,False,False,False,False,False,False,"['#nature', '#aesthetic', '#vibes', '#peaceful', '#bluehour', '#forest']",2026-04-02 21:30:18
