video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@serenity_coziness/video/7551527556709715222,serenity_coziness,So cozy and peaceful 🍃💐🍓 #fyp #cozy #aestheticvibes ,3447,35,0.0,,,False,False,False,False,False,False,"['fyp', 'cozy', 'aestheticvibes']",2026-04-13 23:49:12
https://www.tiktok.com/@rebfitz14/video/7613661044602359061,rebfitz14,"Autumn sunrise.

#farmlife #huntervalley #horsefarm #countrylife ",141,5,0.0,,,False,False,False,False,False,False,"['farmlife', 'huntervalley', 'horsefarm', 'countrylife']",2026-04-13 23:49:19
https://www.tiktok.com/@choosefreedomliving/video/7130000153540332806,choosefreedomliving,Golden Hour 🌞🌙 #cornwall #englishcountryside #nature #walking ,4887,50,0.0,,,False,False,False,False,False,False,"['cornwall', 'englishcountryside', 'nature', 'walking']",2026-04-13 23:49:26
https://www.tiktok.com/@agrometadigital/video/7568302050585480468,agrometadigital,"Este lugar que aparece no vídeo representa um ambiente planejado para alta eficiência na produção de leite. Não se trata apenas de pasto comum. Aqui, a alimentação bovina é feita com uma das estratégias mais eficientes do setor: a silagem de milho. Esse alimento garante grande valor nutricional e estabilidade ao manejo alimentar ao longo do ano.",32600,109,0.0,,,False,True,False,False,False,False,[],2026-04-13 23:49:33
https://www.tiktok.com/@_.vivii.i._/video/7236046067542805786,_.vivii.i._,@🎧🚬 #dc #dlaciebie #fy #fyp #fypシ #foryou #equestrian ,542900,1956,0.0,,,False,False,False,False,False,False,"['dc', 'dlaciebie', 'fy', 'fyp', 'fyp', 'foryou', 'equestrian']",2026-04-13 23:49:39
https://www.tiktok.com/@farm_housenic/video/7260298015397711109,farm_housenic,Disfruta de un momento lleno de Paz y tranquilida en nuestra cabaña 🌳🪵,12500,83,0.0,,,False,False,False,False,False,False,[],2026-04-13 23:49:46
https://www.tiktok.com/@swurpbysza69/video/7614656278954069262,swurpbysza69,#summer #farmlife #aesthetic #moodboard #fyp,1495,10,0.0,,,False,False,False,False,False,False,"['summer', 'farmlife', 'aesthetic', 'moodboard', 'fyp']",2026-04-13 23:49:52
https://www.tiktok.com/@jpeggia/video/7508811164751514926,jpeggia,#country #countryside #farm #church #digicam #digitalcamera #aesthetic ,566,3,0.0,,,False,False,False,False,False,False,"['country', 'countryside', 'farm', 'church', 'digicam', 'digitalcamera', 'aesthetic']",2026-04-13 23:49:58
https://www.tiktok.com/@gulnihaldemirkol/video/7605241194846866709,gulnihaldemirkol,#farm #farmlife #fyp #animals #aesthetic ,20,0,0.0,,,False,False,False,False,False,False,"['farm', 'farmlife', 'fyp', 'animals', 'aesthetic']",2026-04-13 23:50:05
https://www.tiktok.com/@emma.at.acreagency/video/7269035090900978945,emma.at.acreagency,"Lil reminder of home 🤠                           

#australia #farmlife ",48,1,0.0,,,False,False,False,False,False,False,"['australia', 'farmlife']",2026-04-13 23:50:12
https://www.tiktok.com/@pacheco__14_/video/7482466093198494981,pacheco__14_,#feliznosimples #quadriciclo #fyp #fazendas ,17900,61,0.0,,,False,True,False,False,False,False,"['feliznosimples', 'quadriciclo', 'fyp', 'fazendas']",2026-04-13 23:50:19
https://www.tiktok.com/@yazramiyu/video/7577859070338649362,yazramiyu,"“Nothing beats the peaceful vibe of farm life… nature, animals, and pure calm. 🌾🐓”",11,0,0.0,,,False,False,False,False,False,False,[],2026-04-13 23:50:26
https://www.tiktok.com/@moods.motivation/video/7467269165653495086,moods.motivation,"Oh, what a life this must be 🤍 #slowlife #ranchlife #farmlife #farmtok #slowliving ",204,2,0.0,,,False,False,False,False,False,False,"['slowlife', 'ranchlife', 'farmlife', 'farmtok', 'slowliving']",2026-04-13 23:50:31
https://www.tiktok.com/@1868house/video/7617244574192340255,1868house,"It’ll be cute someday, right?😭 #hobbyfarm #farmlife #messy ",4899,86,0.0,,,False,False,False,False,False,False,"['hobbyfarm', 'farmlife', 'messy']",2026-04-13 23:50:39
https://www.tiktok.com/@ary.dicas/video/7450234510026870021,ary.dicas,Todas arrasando no look 🤩💕 #adorofarm #farmetes #amofarm ,329100,777,0.0,,,False,True,False,False,False,False,"['adorofarm', 'farmetes', 'amofarm']",2026-04-13 23:50:45
https://www.tiktok.com/@cozyillusions8/video/7530434514078780686,cozyillusions8,"Wildflowers, apple orchards, sunset picnics, and quiet gravel paths… This is what peace looks like.",57500,150,0.0,,,False,False,False,False,False,False,[],2026-04-13 23:50:51
https://www.tiktok.com/@l0stsouls/video/7327791270577917216,l0stsouls,farm life 🌾 #fyp #aesthetic #countrylife #farmlife #vintage #retro #animated #pinterest #foryou #viral ,6701,16,0.0,,,False,False,False,False,False,False,"['fyp', 'aesthetic', 'countrylife', 'farmlife', 'vintage', 'retro', 'animated', 'pinterest', 'foryou', 'viral']",2026-04-13 23:50:59
https://www.tiktok.com/@agricultureusapro/video/7581929813015792898,agricultureusapro,#farming #agriculture #tractors #agri #tractorlover ,25800,200,0.0,,,False,False,False,False,False,False,"['farming', 'agriculture', 'tractors', 'agri', 'tractorlover']",2026-04-13 23:51:05
https://www.tiktok.com/@aj1st111/video/7312919984261319968,aj1st111,"Clean with a pinch of chaos. 
#desig #house #apartment #foryou ",156700,191,0.0,,,False,False,False,False,False,False,"['desig', 'house', 'apartment', 'foryou']",2026-04-13 23:51:12
https://www.tiktok.com/@zuzaplayshayday/video/7513573401966038294,zuzaplayshayday,i don’t get it😭 the players don’t want to have nice town too?🤣 ,1304,29,0.0,,,False,False,False,False,False,False,[],2026-04-13 23:51:19
https://www.tiktok.com/@minimittenacres/video/7558494510464994574,minimittenacres,"Having the time of our lives🥰
#minimittenacres #farmlife ",366400,1434,0.0,,,False,False,False,False,False,False,"['minimittenacres', 'farmlife']",2026-04-13 23:51:26
https://www.tiktok.com/@tick_creek_ranch/video/7171819246471892270,tick_creek_ranch,Farm chores #fyp #foryou #fypシ #foryoupage #work #hardwork ,632000,994,0.0,,,False,False,False,False,False,False,"['fyp', 'foryou', 'fyp', 'foryoupage', 'work', 'hardwork']",2026-04-13 23:51:33
https://www.tiktok.com/@howfarmsworkofficial/video/7240573525453442346,howfarmsworkofficial,Farmaesthetics #farming #AgTok #howfarmswork ,11600,12,0.0,,,False,False,False,False,False,False,"['farming', 'agtok', 'howfarmswork']",2026-04-13 23:51:40
https://www.tiktok.com/@zomcig/video/7395633626739641633,zomcig,my fav #fypage #cows #browncows #farms #farmlife ,620,17,0.0,,,False,False,False,False,False,False,"['fypage', 'cows', 'browncows', 'farms', 'farmlife']",2026-04-13 23:51:47
