video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@valentineah/video/7627460359951076638,,#black #gif #aesthetic ,108,1.0,,,,False,False,False,False,False,False,"['#black', '#gif', '#aesthetic']",2026-04-19 03:57:39
https://www.tiktok.com/@anggelyic/video/7627659538837048589,,hi shes so cool   #yves #loona #gif #edit #fyp death metal audio gif pinterest aesthetic viral,362,3.0,,,,False,False,False,False,False,False,"['#yves', '#loona', '#gif', '#edit', '#fyp']",2026-04-19 03:57:46
https://www.tiktok.com/@m4ch1b0y/video/7630249184486051080,,#gif #instagram #foryou #500daysofsummer #sad ,96,3.0,,,,False,True,False,False,False,False,"['#gif', '#instagram', '#foryou', '#500daysofsummer', '#sad']",2026-04-19 03:57:53
https://www.tiktok.com/@unicorncupcakeangelic/video/7622757371156172046,,I love the aesthetic of this movie #fyp #priscilla #priscillapresley #gif #gifedit ,198200,130.0,,,,False,False,False,False,False,False,"['#fyp', '#priscilla', '#priscillapresley', '#gif', '#gifedit']",2026-04-19 03:58:00
https://www.tiktok.com/@ithinkofyoubeforeisleep/video/7624590258792828167,,#aesthetic #gif #sza #core #vibes,134,2.0,,,,False,False,False,False,False,False,"['#aesthetic', '#gif', '#sza', '#core', '#vibes']",2026-04-19 03:58:09
https://www.tiktok.com/@meiviff/video/7594211586605092110,,"2000s fruitger zen core || first post of 2026 || #fyp #viral #aesthetic #vibes #corecore #core #zen #foundfootage #dreamcore
#lostmedia #nostalgia #frutigeraero #feverdream
#fyp #targetaudience #mecore #china #2000s #millenial #mooncake #lotus
#gif #meiviff ",24300,65.0,,,,False,False,False,False,False,False,"['#fyp', '#viral', '#aesthetic', '#vibes', '#corecore', '#core', '#zen', '#foundfootage', '#dreamcore', '#lostmedia', '#nostalgia', '#frutigeraero', '#feverdream', '#fyp', '#targetaudience', '#mecore', '#china', '#2000s', '#millenial', '#mooncake', '#lotus', '#gif', '#meiviff']",2026-04-19 03:58:16
https://www.tiktok.com/@whimszii/video/7616946936528014606,,Nature in Disney #olddisney #gifedit #disneyaesthetic #disneynostalgia #disneynature ,2111,19.0,,,,False,False,False,False,False,False,"['#olddisney', '#gifedit', '#disneyaesthetic', '#disneynostalgia', '#disneynature']",2026-04-19 03:58:25
https://www.tiktok.com/@bentoprakkkkkkkk/video/7625550430738844946,,#sticker #gif ,45500,16900.0,,,,False,False,False,False,False,False,"['#sticker', '#gif']",2026-04-19 03:58:32
https://www.tiktok.com/@yet0w/video/7567403618769341710,,"#llawliet #deathnote #october31st #fyp #fypage 
HAPPYYY BIRTHDAY TO MY BELOVEDD L LAWLIETTTT // btwww these are gif of L Lawliet",6920,30.0,,,,False,False,False,False,False,False,"['#llawliet', '#deathnote', '#october31st', '#fyp', '#fypage']",2026-04-19 03:58:39
https://www.tiktok.com/@theeweirdandunusual/video/7586478509510462751,,#gifs #Asthetic #pintrest #money ,261,1.0,,,,False,False,False,False,False,False,"['#gifs', '#asthetic', '#pintrest', '#money']",2026-04-19 03:58:48
