video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@.looaraujoo/video/7530502854155455750,,"I really love this style ☆ #CapCut #mystyle #grunge
#style #editt ",21100,266.0,,,,False,False,False,False,False,False,"['#CapCut', '#mystyle', '#grunge', '#style', '#editt']",2026-04-08 01:48:58
https://www.tiktok.com/@brae_lefebvre/video/7280360862781574406,,alex g 🔛🔝#alexg #grunge #roomtour #pinterest #bedroominspo ,241200,1181.0,,,,False,False,False,False,False,False,"['#alexg', '#grunge', '#roomtour', '#pinterest', '#bedroominspo']",2026-04-08 01:49:08
https://www.tiktok.com/@eifyht/video/7582975110102174997,,#aestheticvideos #fyp #grungemakeup #smokeyeye #grunge ,51900,49.0,,,,False,False,False,False,False,False,"['#aestheticvideos', '#fyp', '#grungemakeup', '#smokeyeye', '#grunge']",2026-04-08 01:49:17
https://www.tiktok.com/@alllwwwwe/video/7581904781166398738,,"Алё 
#grungegirl #rockstargf #avrillavigine #metalgirl #avril ",1400000,5510.0,,,,False,False,False,False,False,False,"['#grungegirl', '#rockstargf', '#avrillavigine', '#metalgirl', '#avril']",2026-04-08 01:49:25
https://www.tiktok.com/@devilzvsp/video/7524191258886147383,,#avrillavigne #punk #2000s #emo #punkrock #rock #music #aesthetic #deftones #avrillavigneedit #grunge #pop ,4428,20.0,,,,False,False,False,False,False,False,"['#avrillavigne', '#punk', '#2000s', '#emo', '#punkrock', '#rock', '#music', '#aesthetic', '#deftones', '#avrillavigneedit', '#grunge', '#pop']",2026-04-08 01:49:32
https://www.tiktok.com/@yestodaybynctu/video/7609566242168392990,,i love mac miller #atlanta #xyzbca #aesthetic #foryoupage #georgia ,269500,283.0,,,,False,False,False,False,False,False,"['#atlanta', '#xyzbca', '#aesthetic', '#foryoupage', '#georgia']",2026-04-08 01:49:44
https://www.tiktok.com/@jhinkzama2/video/7569314744323083542,,"I didn’t evolve. I adapted ⛓️

#waist #gym #physique #aesthetic #fyp",40700,1079.0,,,,False,True,False,False,False,False,"['#waist', '#gym', '#physique', '#aesthetic', '#fyp']",2026-04-08 01:49:52
https://www.tiktok.com/@diavolikz/video/7509989809167863045,,me core #fyy  #fyp #2000s  #olderbrothercore  #olderbrother  #metalhead  #numetal  #xbox  #guitarhero  #nostalgia  #rock  ,39000,146.0,,,,False,True,False,False,False,False,"['#fyy', '#fyp', '#2000s', '#olderbrothercore', '#olderbrother', '#metalhead', '#numetal', '#xbox', '#guitarhero', '#nostalgia', '#rock']",2026-04-08 01:50:04
https://www.tiktok.com/@maja.vqzx/video/7135820301853625605,,16:27💐/grunge style 🧸💌/ #grunge #aesthetic #schoollife #school #dc #fyp #viral #goviral ,258,3.0,,,,False,False,False,False,False,False,"['#grunge', '#aesthetic', '#schoollife', '#school', '#dc', '#fyp', '#viral', '#goviral']",2026-04-08 01:50:17
https://www.tiktok.com/@grungerelationships/video/6855135889232809221,,🧿 #alt #grunge #grungeaesthetic #friends #style #NatureVibes ,660,2.0,,,,False,False,False,False,False,False,"['#alt', '#grunge', '#grungeaesthetic', '#friends', '#style', '#NatureVibes']",2026-04-08 01:50:30
