video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@vallinphantomhive/video/7608589495209856276,vallinphantomhive,"perdão se tiver algo que não faz sentido, não conheço muito os isfj",5418,26,0.0,,,False,False,False,False,False,False,[],2026-04-05 23:20:11
https://www.tiktok.com/@op_jn/video/7278333287720865030,op_jn,#الانماط_الشخصيه #intp #entj #entp #intj #نمطك_لا_يمثلك_١٠٠ #patterns ,49500,263,0.0,,,False,False,False,False,False,False,"['_', 'intp', 'entj', 'entp', 'intj', '___', 'patterns']",2026-04-05 23:20:22
https://www.tiktok.com/@11.melanieee.27/video/7413213475930967339,11.melanieee.27,"I love being a silly teen girl, i hope i never change #azumangadaioh #jujutsukaisen #gravityfalls #saikik #myheroacademia ",140800,506,0.0,,,False,True,False,False,False,False,"['azumangadaioh', 'jujutsukaisen', 'gravityfalls', 'saikik', 'myheroacademia']",2026-04-05 23:20:31
https://www.tiktok.com/@minnytz/video/7537462717842558214,minnytz,intp core 🥺 #intp #intppersonality #mbti #mbtipersonality #kdrama #cdrama #extraordinaryattorneywoo #wheniflytowardsyou ,11100,37,0.0,,,False,False,False,False,False,False,"['intp', 'intppersonality', 'mbti', 'mbtipersonality', 'kdrama', 'cdrama', 'extraordinaryattorneywoo', 'wheniflytowardsyou']",2026-04-05 23:20:43
https://www.tiktok.com/@st4rzlie/video/7319527902817586438,st4rzlie,"Why intp is so loud 😭

#gowon #loona #lossemble
#wheiin #intp #miaeverglpw #kpopfyp #sakura ",47700,262,0.0,,,False,False,False,False,False,False,"['gowon', 'loona', 'lossemble', 'wheiin', 'intp', 'miaeverglpw', 'kpopfyp', 'sakura']",2026-04-05 23:20:52
https://www.tiktok.com/@crazymatroskin55/video/7532398729920269575,crazymatroskin55,Автор тренда Nirami. Я делала от бaлды. тгк: crazymatroskin55 ,58200,461,0.0,,,False,False,False,False,False,False,[],2026-04-05 23:21:04
https://www.tiktok.com/@morceg0triste/video/7578527232025545991,morceg0triste,a diva tem o mesmo mbti doq eu ‼️👅#amyfarrahfowler #fyyyyyyyyyyyyyyyy #intp #tbbt #thebigbangtheory ,36400,117,0.0,,,False,False,False,False,False,False,"['amyfarrahfowler', 'fyyyyyyyyyyyyyyyy', 'intp', 'tbbt', 'thebigbangtheory']",2026-04-05 23:21:15
https://www.tiktok.com/@vallinphantomhive/video/7609364668498414868,vallinphantomhive,me sentindo um garçom com esse tanto de pedido #MBTI #intp #fy ,151,5,0.0,,,False,False,False,False,False,False,"['mbti', 'intp', 'fy']",2026-04-05 23:21:26
https://www.tiktok.com/@intj_mbti6/video/7334041521726983430,intj_mbti6,#CapCut #mbti #mbtipersonality #intj #entj #intp #entp #analistas #analysts ,143100,1486,0.0,,,False,False,False,False,False,False,"['capcut', 'mbti', 'mbtipersonality', 'intj', 'entj', 'intp', 'entp', 'analistas', 'analysts']",2026-04-05 23:21:35
https://www.tiktok.com/@9infj1/video/7520622524254735646,9infj1,INTP EDIT #мбти #edit #intp #интп #mymbti #mylife #МБТИ ##INTP #mbti #MBTI #trend #Тест ,1991,20,0.0,,,False,False,False,False,False,False,"['edit', 'intp', 'mymbti', 'mylife', 'intp', 'mbti', 'mbti', 'trend']",2026-04-05 23:21:47
https://www.tiktok.com/@trisfanta/video/7614506160099609876,trisfanta,"intp nao brinca no serviço
#mbti #anime #trend #mbtipersonality #intp 
tag list:@Ryukishi07 ",50400,108,0.0,,,False,False,False,False,False,False,"['mbti', 'anime', 'trend', 'mbtipersonality', 'intp']",2026-04-05 23:22:00
