video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@ilove28yowomen/video/7607856193868025109,,#wlw #oldersister ,251,5,,,,False,False,False,False,False,False,"['#wlw', '#oldersister']",2026-04-06 01:52:15
https://www.tiktok.com/@daki_x_muzan_nr1.fan/video/7602663012666805526,,"😞🌺
#viral #demonslayer #loser #oldersister #oldersiblings ",104,5,,,,False,False,False,False,False,False,"['#viral', '#demonslayer', '#loser', '#oldersister', '#oldersiblings']",2026-04-06 01:52:26
https://www.tiktok.com/@justjordyn_13/video/7584034623664016671,,this stuff may not seem weird but i get bulled for it #fyp #viral ,5027,63,,,,False,False,False,False,False,False,"['#fyp', '#viral']",2026-04-06 01:52:35
https://www.tiktok.com/@its_emovee/video/7531123943713803526,,MY MOM IS MAD AT ME ABOUT IT BEING SO MESSY #fyp ,1834,12,,,,False,True,False,False,False,False,['#fyp'],2026-04-06 01:52:45
https://www.tiktok.com/@johannlebtnoch/video/7598521264885468438,,It goes very fast #siblings #sister ,1200000,5687,,,,False,False,False,False,False,False,"['#siblings', '#sister']",2026-04-06 01:52:56
https://www.tiktok.com/@hikaru_950/video/7543469315157265672,,,2415,12,,,,False,False,False,False,False,False,[],2026-04-06 01:53:06
https://www.tiktok.com/@anas_1ho/video/7545089569272728850,,omg i love this sm...i wanted to add more then this but litterly couldn't...,3170,3,,,,False,True,False,False,False,False,[],2026-04-06 01:53:16
https://www.tiktok.com/@pepperonihour/video/7625341438137617672,,(sun)glasses  everywhere #loseroldersistercore #fyp #foreveryoung ,58,5,,,,False,False,False,False,False,False,"['#loseroldersistercore', '#fyp', '#foreveryoung']",2026-04-06 01:53:24
https://www.tiktok.com/@noxy63209/video/7398472799184031009,,"mean for no reason 🤣 #urbsfnoxy  

#relatable #thefallout #siblings  #jennaortega #girlhood #foryou  #oldestchild #oldersister #fyp #core ",39200,36,,,,False,False,False,False,False,False,"['#urbsfnoxy', '#relatable', '#thefallout', '#siblings', '#jennaortega', '#girlhood', '#foryou', '#oldestchild', '#oldersister', '#fyp', '#core']",2026-04-06 01:53:35
https://www.tiktok.com/@skozif/video/7593781643094150414,,me core |`#foryou #fyp #core #multifandom ,46300,33,,,,False,False,False,False,False,False,"['#foryou', '#fyp', '#core', '#multifandom']",2026-04-06 01:53:47
https://www.tiktok.com/@imwaiting_12/video/7529863289665342738,,"literally me
@J🌞 @(≧▽≦)  #sibling #losercore #loser #fyp  #viral ",5019,26,,,,False,False,False,False,False,False,"['#sibling', '#losercore', '#loser', '#fyp', '#viral']",2026-04-06 01:53:55
https://www.tiktok.com/@so.sigma927/video/7580578926028688647,,Idk ✌️😔 #Sonic #FNF #momo #sirahead #Cartooncat #TADC ##Loseroldersiblingcore,183,9,,,,False,True,False,False,False,False,"['#Sonic', '#FNF', '#momo', '#sirahead', '#Cartooncat', '#TADC', '#Loseroldersiblingcore']",2026-04-06 01:54:05
https://www.tiktok.com/@iluuvcassie/video/7543619474398743825,,me #zeroday #melaniemartinez #americanhorrorstory #lifeisstrange #yellowjackets ,3297,9,,,,False,False,False,False,False,False,"['#zeroday', '#melaniemartinez', '#americanhorrorstory', '#lifeisstrange', '#yellowjackets']",2026-04-06 01:54:17
https://www.tiktok.com/@an0bunnyedits/video/7543784026914540831,,"I need friends
#fyp #trending #viral #creatorsearchinsights #foryoupage #oldersister #edit #editok ",182,5,,,,False,False,False,False,False,False,"['#fyp', '#trending', '#viral', '#creatorsearchinsights', '#foryoupage', '#oldersister', '#edit', '#editok']",2026-04-06 01:54:26
https://www.tiktok.com/@avocadofromitaly/video/7586825380808428831,,"2016-2021 nostalgia hits HARD 
loser older sister core #nostalgia #fnaf #2020 #fyp ",816500,5692,,,,False,False,False,False,False,False,"['#nostalgia', '#fnaf', '#2020', '#fyp']",2026-04-06 01:54:37
https://www.tiktok.com/@cvnty_gothz/video/7543035032349183254,,#relatable #viral #nostalgiacore #nostalgia #littlesister,804,5,,,,False,False,False,False,False,False,"['#relatable', '#viral', '#nostalgiacore', '#nostalgia', '#littlesister']",2026-04-06 01:54:49
https://www.tiktok.com/@urfav_.lily/video/7625220759606054166,,Older sister core🎧🖤 #fyp #oldersister #core ,40,2,,,,False,False,False,False,False,False,"['#fyp', '#oldersister', '#core']",2026-04-06 01:54:58
https://www.tiktok.com/@bellid640/video/7593397043859623224,,#losercore #oldestchild #oldersister #oldestdaughter #oldestsibling ,91900,200,,,,False,False,False,False,False,False,"['#losercore', '#oldestchild', '#oldersister', '#oldestdaughter', '#oldestsibling']",2026-04-06 01:55:09
https://www.tiktok.com/@my_own_world093/video/7590379850632793366,,I love being the “weird” one #gmmtv #bl #thai #thaibl #tpop ,79300,554,,,,False,False,False,False,False,False,"['#gmmtv', '#bl', '#thai', '#thaibl', '#tpop']",2026-04-06 01:55:17
https://www.tiktok.com/@sony_vect/video/7479770176553028895,,"@lost Evil 
#fyp #старшаясестра #младшийбрат ",76500,170,,,,False,False,False,False,False,False,"['#fyp', '#старшаясестра', '#младшийбрат']",2026-04-06 01:55:25
https://www.tiktok.com/@ms.boujhetto/video/7468166719014554910,,Like are you okay ???? #fyp #nyc #oldersister ,80900,1330,,,,False,False,False,False,False,False,"['#fyp', '#nyc', '#oldersister']",2026-04-06 01:55:35
https://www.tiktok.com/@mychon08/video/7520505095755222277,,"e tinha uma banda na garagem 
#2000s#oldsister#oldsistercore#fyp #foryoupage #avrillavigne",44100,203,,,,False,False,False,False,False,False,"['#2000s', '#oldsister', '#oldsistercore', '#fyp', '#foryoupage', '#avrillavigne']",2026-04-06 01:55:44
https://www.tiktok.com/@y2kmodels.enjoyer/video/7477201281522732310,,#oldersister #grunge #core #00s ,5225,18,,,,False,False,False,False,False,False,"['#oldersister', '#grunge', '#core', '#00s']",2026-04-06 01:55:54
https://www.tiktok.com/@donlemon.edits/video/7568113363788647710,,Loser core edit #edit #edits #fyp #viral #game #anime #Doom #halo #needforspeed #cryoffear #jujutsukaisen #devilmaycry ,295100,1039,,,,False,False,False,False,False,False,"['#edit', '#edits', '#fyp', '#viral', '#game', '#anime', '#Doom', '#halo', '#needforspeed', '#cryoffear', '#jujutsukaisen', '#devilmaycry']",2026-04-06 01:56:05
https://www.tiktok.com/@margokonstantinova/video/7544308889752210694,,"скоро будет год как мне сообщили о том что это не лечиться, но с этим можно жить - рассеянный склероз, часто кажется за что мне это, но всегда надо помнить, что это урок на всю жизнь - выбирать себя ",434,2,,,,False,False,False,False,False,False,[],2026-04-06 01:56:16
https://www.tiktok.com/@ravenxkv/video/7567823664494677270,,Real #foryou #fp #loser #older #sibling ,585,7,,,,False,False,False,False,False,False,"['#foryou', '#fp', '#loser', '#older', '#sibling']",2026-04-06 01:56:26
https://www.tiktok.com/@cloudcutecore/video/7505028229095296278,,cave #korilakkuma #sanrio #korilakkumaplush #gloomybear ,2471,44,,,,False,False,False,False,False,False,"['#korilakkuma', '#sanrio', '#korilakkumaplush', '#gloomybear']",2026-04-06 01:56:36
https://www.tiktok.com/@2077mali/video/7577014413194972438,,I promise I'm cool 💔✌️#fyp #animefyp #real #me ,618,13,,,,False,False,False,False,False,False,"['#fyp', '#animefyp', '#real', '#me']",2026-04-06 01:56:46
https://www.tiktok.com/@anaxwv_/video/7596667243979607312,,"a dona da trend avisa
#instantfamily #oldersister #irmamaisvelha #viralvideo #fyp ",92600,124,,,,False,False,False,False,False,False,"['#instantfamily', '#oldersister', '#irmamaisvelha', '#viralvideo', '#fyp']",2026-04-06 01:56:57
https://www.tiktok.com/@tayneeew/video/7592140680072301879,,"loser yongest sister core

#kpop #bl #foryou #fyp #boost",11800,146,,,,False,False,False,False,False,False,"['#kpop', '#bl', '#foryou', '#fyp', '#boost']",2026-04-06 01:57:05
https://www.tiktok.com/@moonreviews16/video/7584609295426145558,,idkdkdkdk #fyp #viral #trend #room #bedroom ,2452,18,,,,False,False,False,False,False,False,"['#fyp', '#viral', '#trend', '#room', '#bedroom']",2026-04-06 01:57:13
https://www.tiktok.com/@.alinakhass/video/7364425328665660678,,,419200,2914,,,,False,False,False,False,False,False,[],2026-04-06 01:57:24
https://www.tiktok.com/@rand0mfamous/video/7499909463613148422,,us older sisters 😭 #beyonce #blueivycarter #rumicarter ,316800,800,,,,False,False,False,False,False,False,"['#beyonce', '#blueivycarter', '#rumicarter']",2026-04-06 01:57:34
https://www.tiktok.com/@alisa_tosterr1/video/7601506741532183815,,от такой вайб #fupシ #foryoupage #foryou ,175,0,,,,False,False,False,False,False,False,"['#fupシ', '#foryoupage', '#foryou']",2026-04-06 01:57:45
https://www.tiktok.com/@.imjustafuckinggirl/video/7622866691831237908,,"lonely older sister core 
 
 
  
 

  
/#viral #fyp #viralvideo #obvxzemma #creatirinsearchsight",88,0,,,,False,False,False,False,False,False,"['#viral', '#fyp', '#viralvideo', '#obvxzemma', '#creatirinsearchsight']",2026-04-06 01:57:54
https://www.tiktok.com/@stfanxsz00/video/7619841255882657057,,"i hate my lil bro!!

#oldersister #oldersistercore #olderbrothercore2000s #2000sthrowback #2000sinternetnostalgia ",112100,164,,,,False,False,False,False,False,False,"['#oldersister', '#oldersistercore', '#olderbrothercore2000s', '#2000sthrowback', '#2000sinternetnostalgia']",2026-04-06 01:58:03
https://www.tiktok.com/@njzhnn/video/7616457668907011346,,such a weirdo,48,0,,,,False,False,False,False,False,False,[],2026-04-06 01:58:12
https://www.tiktok.com/@gr.nnnnn/video/7575526442096807179,,#foryou ,326,2,,,,False,False,False,False,False,False,['#foryou'],2026-04-06 01:58:20
https://www.tiktok.com/@bbastarddxdxdxdxd/video/7614930709072973077,,outfit of the day #loser #losercore #outfit #fit,155,30,,,,False,False,False,False,False,False,"['#loser', '#losercore', '#outfit', '#fit']",2026-04-06 01:58:31
https://www.tiktok.com/@alma_soul_13/video/7492965109690584366,,I forgot to but all my art on the wall :P #08 #fyp #alt #foryou #metal ,1121,5,,,,False,False,False,False,False,False,"['#08', '#fyp', '#alt', '#foryou', '#metal']",2026-04-06 01:58:41
https://www.tiktok.com/@n0_surprises7/video/7541833958032461074,,"born to be the distant, disappointment daughter ",156,3,,,,False,False,False,False,False,False,[],2026-04-06 01:58:54
https://www.tiktok.com/@silvi1xxxx/video/7587492991258873102,,клянусь не лузер! #youngersister #core #fyp #recommendations ,498,6,,,,False,False,False,False,False,False,"['#youngersister', '#core', '#fyp', '#recommendations']",2026-04-06 01:59:04
https://www.tiktok.com/@mizuki._amia/video/7575918967227731222,,"cr:@.𖥔 ݁ ˖𓂃.𝚅𝚒𝚗—⋆｡𖦹°⭒˚｡⋆ 🍀 ||#fandoms #losercore #fyp #loserolderdaughtercore ||
@⛄️ @belladonna @𓏴𓏴   ۪   ֹ  𝓚ii 🌂🩵      ⊹ @ABDO!!! | CEO OF RAPPA!!🇱🇾",233600,861,,,,False,True,False,False,False,False,"['#fandoms', '#losercore', '#fyp', '#loserolderdaughtercore']",2026-04-06 01:59:15
