video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@4ebruary/video/7130309718236482821,,Slowed Ver. // song: Selena Gomez - I Love You Like a Love Song Baby #lovecore #audio #editaudio #love #heart ,3116,13.0,,,,False,False,False,False,False,False,"['#lovecore', '#audio', '#editaudio', '#love', '#heart']",2026-03-31 19:16:46
https://www.tiktok.com/@ztoya_/video/7444067840002444599,,apenas ela. @.tiphazyy | #editmanga #love #anime #edit #fy #viral ,137000,2768.0,,,,False,False,False,False,False,False,"['#editmanga', '#love', '#anime', '#edit', '#fy', '#viral']",2026-03-31 19:16:57
https://www.tiktok.com/@napoleondynamite5000/video/7605344421890116877,,#lovecore #valentinesday ,176,2.0,,,,False,False,False,False,False,False,"['#lovecore', '#valentinesday']",2026-03-31 19:17:06
https://www.tiktok.com/@ottopandamoo/video/7612173582688439560,,#relatable #relattionship #lovecore #streak #minecrafts,173,0.0,,,,False,False,False,False,False,False,"['#relatable', '#relattionship', '#lovecore', '#streak', '#minecrafts']",2026-03-31 19:17:14
https://www.tiktok.com/@yooo_lo2/video/7603803697277095186,,#тактильность #руки#love#cute#vibe ,13200,28.0,,,,False,False,False,False,False,False,"['#тактильность', '#руки', '#love', '#cute', '#vibe']",2026-03-31 19:17:24
https://www.tiktok.com/@hidori_roseofficial/video/7606410795630464278,,"Lovecore 🌹💕

#valentine #dresses #dailylook #fitchek #fypp ",1168,10.0,,,,False,False,False,False,False,False,"['#valentine', '#dresses', '#dailylook', '#fitchek', '#fypp']",2026-03-31 19:17:35
https://www.tiktok.com/@julietisjustpeachy/video/7604704792966925582,,"Day One 💌
Lovecore girls unite! It's our season 
.
.
.
#styling ",69,2.0,,,,False,False,False,False,False,False,['#styling'],2026-03-31 19:17:43
https://www.tiktok.com/@watch.again365/video/7568159533835635990,,Love core. ❤️🥹 #loveyou #nostalgia #sentimental #loveyou #edit ,42,0.0,,,,False,False,False,False,False,False,"['#loveyou', '#nostalgia', '#sentimental', '#loveyou', '#edit']",2026-03-31 19:17:52
https://www.tiktok.com/@larueestee/video/7469551993158126879,,"Day 4/5 a red outfit was needed in this series 🌹

#lovecore ",1312,27.0,,,,False,False,False,False,False,False,['#lovecore'],2026-03-31 19:18:02
https://www.tiktok.com/@pinkteddy94/video/7470268618345860374,,❤️🩷#lovecore #hyperfeminine #girlygirl #pinkaesthetic #redaesthetic #girlyaesthetic #babypink #aestheticvideos ,148,1.0,,,,False,False,False,False,False,False,"['#lovecore', '#hyperfeminine', '#girlygirl', '#pinkaesthetic', '#redaesthetic', '#girlyaesthetic', '#babypink', '#aestheticvideos']",2026-03-31 19:18:11
https://www.tiktok.com/@petite_tomoyo/video/7062729061054942469,,Lovecore outfit for Valentine’s day season! ❤️🎀❤️ #lolitafashion ,640,31.0,,,,False,False,False,False,False,False,['#lolitafashion'],2026-03-31 19:18:20
https://www.tiktok.com/@thisbelovedlife/video/7620889000852639006,,"i donut know what i'd do without you

#ilovemybf #ilovemygf ",1634,17.0,,,,False,False,False,False,False,False,"['#ilovemybf', '#ilovemygf']",2026-03-31 19:18:32
https://www.tiktok.com/@lost_stims/video/7142146750160162090,,#lovecore #love#stimboard#lovestimboard#heart#heartstimboard,230,3.0,,,,False,False,False,False,False,False,"['#lovecore', '#love', '#stimboard', '#lovestimboard', '#heart', '#heartstimboard']",2026-03-31 19:18:41
https://www.tiktok.com/@lizlaleo/video/7106286053719559470,,bf + gf 💌💗🍒💓🍓🌷💕🌸💞💋 #lovecore #hellokitty #gengar #pink,254,4.0,,,,False,False,False,False,False,False,"['#lovecore', '#hellokitty', '#gengar', '#pink']",2026-03-31 19:18:52
https://www.tiktok.com/@silkyyjjk/video/6911735794004806914,,my kawaii lovecore ios homescreen <3 #ios14homescreen #ios14 ,7934,69.0,,,,False,False,False,False,False,False,"['#ios14homescreen', '#ios14']",2026-03-31 19:19:01
https://www.tiktok.com/@mjlovesqoutes/video/7619295899067534600,,#relationship #lovecore #couple #relateable #relateable ,18000,55.0,,,,False,False,False,False,False,False,"['#relationship', '#lovecore', '#couple', '#relateable', '#relateable']",2026-03-31 19:19:10
https://www.tiktok.com/@yuzupunks/video/7604231730609802526,,be my valentine? #valentinesday #valentine #ilysm #lovecore ,25400,87.0,,,,False,False,False,False,False,False,"['#valentinesday', '#valentine', '#ilysm', '#lovecore']",2026-03-31 19:19:21
https://www.tiktok.com/@starsweetsz/video/7273633039282998571,,♡︎𝖫𝗈𝗏𝖾𝖼𝗈𝗋𝖾♡︎ #fypシ #fypシ゚viral #lovecoreaesthetic #aesthetic #pink #aestheticvibes #edit #loveyourself #fypツ #aesthetics ,102,1.0,,,,False,False,False,False,False,False,"['#fypシ', '#fypシ゚viral', '#lovecoreaesthetic', '#aesthetic', '#pink', '#aestheticvibes', '#edit', '#loveyourself', '#fypツ', '#aesthetics']",2026-03-31 19:19:30
https://www.tiktok.com/@meoow_hubb/video/7447635497536572694,,"Can you hear me ?
#kendrick #canyouhearme #nightaesthetic ",167,1.0,,,,False,False,False,False,False,False,"['#kendrick', '#canyouhearme', '#nightaesthetic']",2026-03-31 19:19:42
https://www.tiktok.com/@mbb.cupkake/video/7508456478072720662,,#milliebobbybrown #viral #fyp #weloveyou #jakebongiovi ,1291,16.0,,,,False,False,False,False,False,False,"['#milliebobbybrown', '#viral', '#fyp', '#weloveyou', '#jakebongiovi']",2026-03-31 19:19:51
https://www.tiktok.com/@xxchante/video/7591367116830280991,,Luv hearts and everything pink ᢉ𐭩 #heart #lovecore #valentines #heartgirl #lovergirl,283,2.0,,,,False,False,False,False,False,False,"['#heart', '#lovecore', '#valentines', '#heartgirl', '#lovergirl']",2026-03-31 19:20:01
https://www.tiktok.com/@boyfiesfanpage/video/7613387755715923220,,"fall in love with me <3
#lovecore #lovergirlera ",5,1.0,,,,False,False,False,False,False,False,"['#lovecore', '#lovergirlera']",2026-03-31 19:20:09
https://www.tiktok.com/@notalius44/video/7600805505543523615,,Trauriger Simon #gurrenlagan #lovecore #sadcore #sadedit #edit,11900,165.0,,,,False,True,False,False,False,False,"['#gurrenlagan', '#lovecore', '#sadcore', '#sadedit', '#edit']",2026-03-31 19:20:18
https://www.tiktok.com/@azlyxg/video/7555848283407519032,,"Corecore.
#edit #corecore #azlyxg #fyp #twd ",16000,110.0,,,,False,False,False,False,False,False,"['#edit', '#corecore', '#azlyxg', '#fyp', '#twd']",2026-03-31 19:20:27
https://www.tiktok.com/@lainismylife/video/7513605768269171990,,me when #love #couple #cutecouple #when #me #whenisitmyturntobehappy #heart #lovely #luv #edit #lifeisstrange #lonely #meandhim #menhim ,3599,11.0,,,,False,False,False,False,False,False,"['#love', '#couple', '#cutecouple', '#when', '#me', '#whenisitmyturntobehappy', '#heart', '#lovely', '#luv', '#edit', '#lifeisstrange', '#lonely', '#meandhim', '#menhim']",2026-03-31 19:20:35
https://www.tiktok.com/@weep/video/7456863084917968146,,hehe #us #meandhim #iloveyou #ilovemybf #loveyou #silly #adorable #Love #targetaudience #bf #cutecore🎀🦴🍮🐾 ,7924,44.0,,,,False,True,False,False,False,False,"['#us', '#meandhim', '#iloveyou', '#ilovemybf', '#loveyou', '#silly', '#adorable', '#Love', '#targetaudience', '#bf', '#cutecore🎀🦴🍮🐾']",2026-03-31 19:20:49
https://www.tiktok.com/@thecutiebuggie/video/7112543239487507755,,my lovecore inspired fits💗❤️ #ootd #lovecoreaesthetic #lovecore ,647,72.0,,,,False,False,False,False,False,False,"['#ootd', '#lovecoreaesthetic', '#lovecore']",2026-03-31 19:20:58
https://www.tiktok.com/@enytiq/video/7478376097428802818,,never felt safer #00s #core #aesthetic #fyp #frutiger #00snostalgia #nostalgia #nostalgic ,17000,28.0,,,,False,False,False,False,False,False,"['#00s', '#core', '#aesthetic', '#fyp', '#frutiger', '#00snostalgia', '#nostalgia', '#nostalgic']",2026-03-31 19:21:08
https://www.tiktok.com/@la_ginevrinapazza/video/7550679171454930178,,love school core 💗#truelovee #schoollife #fyp #lovecore #rek @maria🪼 ,251700,1665.0,,,,False,False,False,False,False,False,"['#truelovee', '#schoollife', '#fyp', '#lovecore', '#rek']",2026-03-31 19:21:17
https://www.tiktok.com/@toopoptohandle7/video/7603488116132941069,,it’s true #ilovemybf #lovecore ,136900,197.0,,,,False,False,False,False,False,False,"['#ilovemybf', '#lovecore']",2026-03-31 19:21:28
https://www.tiktok.com/@prettygirlsurvivaltips/video/7466540916270976299,,🥰 #prettytok #lovergirl #softglam ,166,2.0,,,,False,False,False,False,False,False,"['#prettytok', '#lovergirl', '#softglam']",2026-03-31 19:21:35
https://www.tiktok.com/@cursedlover36/video/7500410895001079071,,What even is love?#isthisreallylove #fyp #d4vd #lovecore #vibe ,24,1.0,,,,False,False,False,False,False,False,"['#isthisreallylove', '#fyp', '#d4vd', '#lovecore', '#vibe']",2026-03-31 19:21:43
https://www.tiktok.com/@__richard__.tt/video/7571644100835806475,,#horimiya #miyamura #anime #animeedit #vibe ,1048,40.0,,,,False,False,False,False,False,False,"['#horimiya', '#miyamura', '#anime', '#animeedit', '#vibe']",2026-03-31 19:21:54
https://www.tiktok.com/@pain.cuhh/video/7509653317719477546,,pain cuh #paincuhh #corecore #lovecore ,147900,298.0,,,,False,False,False,False,False,False,"['#paincuhh', '#corecore', '#lovecore']",2026-03-31 19:22:03
https://www.tiktok.com/@mattdagoat160/video/7622337791828987166,,Send this to her #lovecore ,66,47.0,,,,False,False,False,False,False,False,['#lovecore'],2026-03-31 19:22:14
https://www.tiktok.com/@jbugboo/video/7548267737034853637,,#lyricsvideo #inthenameoflove #lovecore #foryoupage #editlyrics ,1353,4.0,,,,False,False,False,False,False,False,"['#lyricsvideo', '#inthenameoflove', '#lovecore', '#foryoupage', '#editlyrics']",2026-03-31 19:22:22
https://www.tiktok.com/@cinnamonleavess/video/7588044887849815327,,Going into the new year with you >>> #lovecore #relationships ,163700,425.0,,,,False,False,False,False,False,False,"['#lovecore', '#relationships']",2026-03-31 19:22:31
https://www.tiktok.com/@soulenedit/video/7583392630797618454,,Emma watson about love #core #love #edit #film #corecore ,2100000,1510.0,,,,False,False,False,False,False,False,"['#core', '#love', '#edit', '#film', '#corecore']",2026-03-31 19:22:42
https://www.tiktok.com/@toopoptohandle7/video/7611654451677482254,,#lovecore ,23100,46.0,,,,False,False,False,False,False,False,['#lovecore'],2026-03-31 19:22:53
https://www.tiktok.com/@sending234/video/7617480925965782290,,#lovecore #couple #ily #purelove #romance ,61,0.0,,,,False,False,False,False,False,False,"['#lovecore', '#couple', '#ily', '#purelove', '#romance']",2026-03-31 19:23:01
https://www.tiktok.com/@thelyric_possumwizard862/video/7618342774726741278,,#fyp #lovecore #enjoy #vibes #lyrics ,28,0.0,,,,False,False,False,False,False,False,"['#fyp', '#lovecore', '#enjoy', '#vibes', '#lyrics']",2026-03-31 19:23:09
https://www.tiktok.com/@lups1s/video/7529288359882116382,,"｡.｡:∞♡*♥our core♥*♡∞:｡.｡
#love #boyfriend #core #ourcore ",197500,2924.0,,,,False,False,False,False,False,False,"['#love', '#boyfriend', '#core', '#ourcore']",2026-03-31 19:23:20
https://www.tiktok.com/@loveablebloom/video/7030700079472217350,,#fypシ #fypage #fyppppppppppppppppppppppp ,55,1.0,,,,False,False,False,False,False,False,"['#fypシ', '#fypage', '#fyppppppppppppppppppppppp']",2026-03-31 19:23:30
https://www.tiktok.com/@accountuserisgone/video/7557466125836012822,,#core #relatable #foryoupage #love #realcore ,106900,167.0,,,,False,False,False,False,False,False,"['#core', '#relatable', '#foryoupage', '#love', '#realcore']",2026-03-31 19:23:40
https://www.tiktok.com/@lumiriss/video/7506349194496560415,,Never let anybody ruin the lover girl in you ,16700,25.0,,,,False,False,False,False,False,False,[],2026-03-31 19:23:48
https://www.tiktok.com/@passivereyes/video/7102258253534334250,,not my usual content but #❤️ #💞 #❣️ #fyp #fypシ #foryou #raesei #lovecore #aesthetic #aesthetics #nimbasacore #lovecoreedit,79,0.0,,,,False,False,False,False,False,False,"['#❤️', '#💞', '#❣️', '#fyp', '#fypシ', '#foryou', '#raesei', '#lovecore', '#aesthetic', '#aesthetics', '#nimbasacore', '#lovecoreedit']",2026-03-31 19:23:58
https://www.tiktok.com/@yuzupunks/video/7620657860711550239,,#lovecore #twee #currentjoys,10800,20.0,,,,False,False,False,False,False,False,"['#lovecore', '#twee', '#currentjoys']",2026-03-31 19:24:10
https://www.tiktok.com/@jennifermckinney681/video/7541104773152443662,,#grwm,1703,329.0,,,,False,False,False,False,False,False,['#grwm'],2026-03-31 19:24:18
https://www.tiktok.com/@nkzcorecore/video/7592356785021897991,,"Feeling Love Edit

#corecore #core #uscore #lovecore #xyzbca ",13600,100.0,,,,False,False,False,False,False,False,"['#corecore', '#core', '#uscore', '#lovecore', '#xyzbca']",2026-03-31 19:24:27
https://www.tiktok.com/@suzie.zzz/video/7565656945911221522,,"Amor verdadeiro... ♡
#hopecore #casal #amor #fofura #hopecoretiktok ",414,21.0,,,,False,True,False,False,False,False,"['#hopecore', '#casal', '#amor', '#fofura', '#hopecoretiktok']",2026-03-31 19:24:36
https://www.tiktok.com/@aruiillyy/video/7151105180782677254,,благодарю за 11к!!🫶🏼🫶🏼 #aruiillyy #romantisize #love #lovecore ,58100,323.0,,,,False,False,False,False,False,False,"['#aruiillyy', '#romantisize', '#love', '#lovecore']",2026-03-31 19:24:44
