video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@sraaa_edits/video/7611851099510672661,sraaa_edits,2000 older brother core #fyp #edit #viral #rodrickheffley ,168,9,0.0,,,False,False,False,False,False,False,"['fyp', 'edit', 'viral', 'rodrickheffley']",2026-04-05 13:45:02
https://www.tiktok.com/@draconian003/video/7623758763710795038,draconian003,#fyp #olderbrother #olderbrothercore #fypシ゚viral ,27300,319,0.0,,,False,False,False,False,False,False,"['fyp', 'olderbrother', 'olderbrothercore', 'fypviral']",2026-04-05 13:45:12
https://www.tiktok.com/@acervonumetal/video/7572641771675536647,acervonumetal,"OLDER BROTHER CORE BR + NU METAL (edit)

#numetal #newmetal #olderbrothercore #nostalgia #2000s ",74000,282,0.0,,,False,False,False,False,False,False,"['numetal', 'newmetal', 'olderbrothercore', 'nostalgia', '2000s']",2026-04-05 13:45:22
https://www.tiktok.com/@drycee.cc2/video/7614988986393562390,drycee.cc2,"older brother core | Rodrick Heffley edit 
ib:@Sigma.cc 
#rodrickheffley #rodrickrules #edit #fyp #foruyou #drycee ",56,8,0.0,,,False,False,False,False,False,False,"['rodrickheffley', 'rodrickrules', 'edit', 'fyp', 'foruyou', 'drycee']",2026-04-05 13:45:34
https://www.tiktok.com/@s_o.u.l_z/video/7607926132800883975,s_o.u.l_z,to sk8 older brother core final boss?@legits😇😇 ,154,23,0.0,,,False,False,False,False,False,False,[],2026-04-05 13:45:42
https://www.tiktok.com/@y2k_vault_/video/7599812193349061910,y2k_vault_,"This is where your music taste came from.

#olderbrothercore #2000s",1301,19,0.0,,,False,False,False,False,False,False,"['olderbrothercore', '2000s']",2026-04-05 13:45:53
https://www.tiktok.com/@samueyz.xx/video/7598352911428668680,samueyz.xx,"irmão mais velho core

#olderbrother #irmaomaisvelho #real #edit #frase ",146,2,0.0,,,False,False,False,False,False,False,"['olderbrother', 'irmaomaisvelho', 'real', 'edit', 'frase']",2026-04-05 13:46:03
https://www.tiktok.com/@anonymouskiller06v2/video/7619339427034189063,anonymouskiller06v2,Ukraine Older Brother Core #ukraine#olderbrothercore#2000s#qtv#nostalgia,290700,996,0.0,,,False,False,False,False,False,False,"['ukraine', 'olderbrothercore', '2000s', 'qtv', 'nostalgia']",2026-04-05 13:46:14
https://www.tiktok.com/@rec_anem0ia0/video/7617582168323132694,rec_anem0ia0,Vagazoides edit #olderbrother #2000 #edit #nostalgiacore #vagazoides #brazil #fyp,4594,17,0.0,,,False,False,False,False,False,False,"['olderbrother', '2000', 'edit', 'nostalgiacore', 'vagazoides', 'brazil', 'fyp']",2026-04-05 13:46:22
https://www.tiktok.com/@zombiebeatz95/video/7619939728128871700,zombiebeatz95,†Older brother core†,75,5,0.0,,,False,False,False,False,False,False,[],2026-04-05 13:46:30
https://www.tiktok.com/@crazy_pers0nzz/video/7510353107486870815,crazy_pers0nzz,I wish I could live like this✩ #2000s #2000saesthetic #olderbrothercore #whateverthisis #core #coreedit #2000snostalgia ,1242,6,0.0,,,False,False,False,False,False,False,"['2000s', '2000saesthetic', 'olderbrothercore', 'whateverthisis', 'core', 'coreedit', '2000snostalgia']",2026-04-05 13:46:41
https://www.tiktok.com/@dikiy_jelud/video/7590485793106414868,dikiy_jelud,#losercore #fyp #olderbrothercore #loser #nerd ,27100,172,0.0,,,False,False,False,False,False,False,"['losercore', 'fyp', 'olderbrothercore', 'loser', 'nerd']",2026-04-05 13:46:52
https://www.tiktok.com/@peppamiggle/video/7532181594774293790,peppamiggle,Pls bully me and my Y2K Older Brother Core Room #olderbrothercore ,4253,118,0.0,,,False,False,False,False,False,False,['olderbrothercore'],2026-04-05 13:47:00
https://www.tiktok.com/@.ofrango/video/7544450954444262712,.ofrango,sinistro #nostalgia #olderbrothercore #chillbro #infancia ,54900,552,0.0,,,False,False,False,False,False,False,"['nostalgia', 'olderbrothercore', 'chillbro', 'infancia']",2026-04-05 13:47:10
https://www.tiktok.com/@.1cl5/video/7573687716341091602,.1cl5,#corecore #fyp #viral #foryoupage ,51100,420,0.0,,,False,False,False,False,False,False,"['corecore', 'fyp', 'viral', 'foryoupage']",2026-04-05 13:47:18
https://www.tiktok.com/@nostalgia.e_x_e/video/7606712533474348302,nostalgia.e_x_e,"Obscure Aesthetics Part 2: Older Brother Core.                         This aesthetic centered on the relaxed, functional, and slightly worn-in style of a dependable 90s or early 2000s male figure, often featuring oversized flannels, vintage graphic tees, and baggy denim. It gained massive popularity in the early 2020s via social media as a ""comfort"" style that prioritizes a sense of nostalgic security and effortless cool over high-fashion trends. While the trend's peak hype has stabilized, its ",319,3,0.0,,,False,False,False,False,False,False,[],2026-04-05 13:47:25
https://www.tiktok.com/@julius._.blz/video/7600155207674416387,julius._.blz,#olderbrother #core #edit #starwars #viral ,741,4,0.0,,,False,False,False,False,False,False,"['olderbrother', 'core', 'edit', 'starwars', 'viral']",2026-04-05 13:47:35
https://www.tiktok.com/@shizvortex/video/7559680630682914104,shizvortex,"#obc #olderbrothercore 
#edit #nosmokinng ",35,0,0.0,,,False,False,False,False,False,False,"['obc', 'olderbrothercore', 'edit', 'nosmokinng']",2026-04-05 13:47:44
https://www.tiktok.com/@.ofrango/video/7484667596013391110,.ofrango,voltei galera #nostalgia #olderbrothercore ,77300,1076,0.0,,,False,False,False,False,False,False,"['nostalgia', 'olderbrothercore']",2026-04-05 13:47:54
https://www.tiktok.com/@jj._xo/video/7606042514864262413,jj._xo,"they don't make them like this anymore 

#edit #fyp #2000s #olderbrothercore  #シ ",114,0,0.0,,,False,False,False,False,False,False,"['edit', 'fyp', '2000s', 'olderbrothercore']",2026-04-05 13:48:05
https://www.tiktok.com/@aliislowed/video/7578175400619035924,aliislowed,They’re not older siblings THIS IS ME CORE! #mecore #core #fyp #anime #dc ,39800,460,0.0,,,False,False,False,False,False,False,"['mecore', 'core', 'fyp', 'anime', 'dc']",2026-04-05 13:48:13
https://www.tiktok.com/@greglovesandunderstands/video/7607841263873805599,greglovesandunderstands,brothers. #core #anime #corecore #fyp #edit ,4717,56,0.0,,,False,False,False,False,False,False,"['core', 'anime', 'corecore', 'fyp', 'edit']",2026-04-05 13:48:21
https://www.tiktok.com/@xoxo_fpz/video/7534180779509812486,xoxo_fpz,"💿When I Come Around 
👤Green Day

#skate#fyp#olderbrothercore#teenagedirtbag#sum41#greenday#whenicomearound",2417,5,0.0,,,False,False,False,False,False,False,"['skate', 'fyp', 'olderbrothercore', 'teenagedirtbag', 'sum41', 'greenday', 'whenicomearound']",2026-04-05 13:48:30
https://www.tiktok.com/@kennypmorrison/video/7595454468657827103,kennypmorrison,🦇🤍#inmorrisonwetrust #desertdieselcartel #real #kingranch ,6977,9,0.0,,,False,False,False,False,False,False,"['inmorrisonwetrust', 'desertdieselcartel', 'real', 'kingranch']",2026-04-05 13:48:41
https://www.tiktok.com/@mimiissgone/video/7413159485981707526,mimiissgone,uma das minhas favoritas 🖤 #foryou #fyp #paravoce #2000s #anos2000 #nostalgia #olderbrothercore ,395400,3270,0.0,,,False,False,False,False,False,False,"['foryou', 'fyp', 'paravoce', '2000s', 'anos2000', 'nostalgia', 'olderbrothercore']",2026-04-05 13:48:52
https://www.tiktok.com/@haunt3dbat/video/7576693894235147542,haunt3dbat,Early 2000s older brother core ☠️ #2000s #mlm #y2k #viral ,27500,187,0.0,,,False,False,False,False,False,False,"['2000s', 'mlm', 'y2k', 'viral']",2026-04-05 13:49:00
https://www.tiktok.com/@andryakitsme/video/7618199265449413908,andryakitsme,Предлагайте треки в тгк: андряк это я #olderbrothercore ,3719,17,0.0,,,False,False,False,False,False,False,['olderbrothercore'],2026-04-05 13:49:10
https://www.tiktok.com/@leandrocavalcante9974/video/7594924085872839956,leandrocavalcante9974,old brothercore#fy #nostálgico ,1288,101,0.0,,,False,False,False,False,False,False,"['fy', 'nostlgico']",2026-04-05 13:49:21
https://www.tiktok.com/@greglovesandunderstands/video/7580992599847128350,greglovesandunderstands,brother. #edit #fyp #anime #core #corecore ,162900,2653,0.0,,,False,False,False,False,False,False,"['edit', 'fyp', 'anime', 'core', 'corecore']",2026-04-05 13:49:28
https://www.tiktok.com/@luvnikuu/video/7610499302682545430,luvnikuu,older bro core #portgasdace #onepiece #mecore #luvnikuu ,90800,211,0.0,,,False,False,False,False,False,False,"['portgasdace', 'onepiece', 'mecore', 'luvnikuu']",2026-04-05 13:49:39
https://www.tiktok.com/@johnnyslone1/video/7621413057771752735,johnnyslone1,#olderbrothercore #nostalgia #2000s #athstetic ,1037,3,0.0,,,False,False,False,False,False,False,"['olderbrothercore', 'nostalgia', '2000s', 'athstetic']",2026-04-05 13:49:47
https://www.tiktok.com/@asixbbm/video/7467932989796666646,asixbbm,me core #fyp #linkinpark #limpbizkit #slipknot #deftones #threedaysgrace #korn #avrillavigine #paparoach #systemofadown #soad #adamgontier ,35700,98,0.0,,,False,True,False,False,False,False,"['fyp', 'linkinpark', 'limpbizkit', 'slipknot', 'deftones', 'threedaysgrace', 'korn', 'avrillavigine', 'paparoach', 'systemofadown', 'soad', 'adamgontier']",2026-04-05 13:49:58
https://www.tiktok.com/@sono_raoul_di_lorenzo/video/7321431753615281441,sono_raoul_di_lorenzo,"Older Brother Core >>>
#olderbrothercore #2000saesthetic #2000sthrowback #00snostalgia ",145000,1097,0.0,,,False,False,False,False,False,False,"['olderbrothercore', '2000saesthetic', '2000sthrowback', '00snostalgia']",2026-04-05 13:50:08
https://www.tiktok.com/@ghost_000333/video/7544050674158406968,ghost_000333,#foruyou #fypシ゚ #foryoupagee #fyp #shitpost ,4766,481,0.0,,,False,False,False,False,False,False,"['foruyou', 'fyp', 'foryoupagee', 'fyp', 'shitpost']",2026-04-05 13:50:19
https://www.tiktok.com/@reetkeet7/video/7600923176775847186,reetkeet7,#olderbrothercore #2000 #midwestemo #midwest #2000s ,45900,175,0.0,,,False,False,False,False,False,False,"['olderbrothercore', '2000', 'midwestemo', 'midwest', '2000s']",2026-04-05 13:50:29
https://www.tiktok.com/@johnnyslone1/video/7616219947357801758,johnnyslone1,#olderbrothercore #2000s #nostalgia #athstetic ,1699,11,0.0,,,False,False,False,False,False,False,"['olderbrothercore', '2000s', 'nostalgia', 'athstetic']",2026-04-05 13:50:37
https://www.tiktok.com/@fluffybread29/video/7589323640160750862,fluffybread29,older brother core #olderbrothercore #2000s #emo #xbox #y2k,428,7,0.0,,,False,False,False,False,False,False,"['olderbrothercore', '2000s', 'emo', 'xbox', 'y2k']",2026-04-05 13:50:46
https://www.tiktok.com/@sophiextreme/video/7468689765609540870,sophiextreme,Replying to @nse8264 no text ver! #2000snostalgia #2009 ,57200,373,0.0,,,False,False,False,False,False,False,"['2000snostalgia', '2009']",2026-04-05 13:50:55
https://www.tiktok.com/@lyricalmisfitt/video/7620177415578406164,lyricalmisfitt,“im literally rodrick heffley” #rodrickheffley #room #alt ,366,14,0.0,,,False,False,False,False,False,False,"['rodrickheffley', 'room', 'alt']",2026-04-05 13:51:04
https://www.tiktok.com/@nanabananacsf/video/7397486415774485766,nanabananacsf,#olderbrother #olderbrothercore #2000s #2000score #core #viral #foyor #foyoryoupage ,29200,254,0.0,,,False,False,False,False,False,False,"['olderbrother', 'olderbrothercore', '2000s', '2000score', 'core', 'viral', 'foyor', 'foyoryoupage']",2026-04-05 13:51:14
https://www.tiktok.com/@eurotrippmusic/video/7565687864285990174,eurotrippmusic,older brother core #2000s #nostalgia #numetal #alttiktok ,154200,1296,0.0,,,False,False,False,False,False,False,"['2000s', 'nostalgia', 'numetal', 'alttiktok']",2026-04-05 13:51:22
https://www.tiktok.com/@d9smenr/video/7582645553805135135,d9smenr,i can't do normal video #corecore #oldbrothercore #losercore #mycore #30fps ,12200,65,0.0,,,False,False,False,False,False,False,"['corecore', 'oldbrothercore', 'losercore', 'mycore', '30fps']",2026-04-05 13:51:33
https://www.tiktok.com/@chromedotfm/video/7612641522185489695,chromedotfm,"song: chrome.fm - daystar

#2000s #nostalgia #numetal #mtv ",92200,437,0.0,,,False,False,False,False,False,False,"['2000s', 'nostalgia', 'numetal', 'mtv']",2026-04-05 13:51:43
https://www.tiktok.com/@torusband/video/7600538698807135510,torusband,90s older brother core #nirvana #deftones #billieeilish #grunge #90smusic ,478,5,0.0,,,False,False,False,False,False,False,"['nirvana', 'deftones', 'billieeilish', 'grunge', '90smusic']",2026-04-05 13:51:53
https://www.tiktok.com/@hazenvibritannia/video/7623114430695394580,hazenvibritannia,"older brother core

#olderbrother #losercore 
#olderbrothercore #loser ",23,3,0.0,,,False,False,False,False,False,False,"['olderbrother', 'losercore', 'olderbrothercore', 'loser']",2026-04-05 13:52:04
https://www.tiktok.com/@spiderversia/video/7618401872227077399,spiderversia,boring text edit #foryoupage #spiderman #marveledit #xyzcba ,57300,54,0.0,,,False,False,False,False,False,False,"['foryoupage', 'spiderman', 'marveledit', 'xyzcba']",2026-04-05 13:52:13
https://www.tiktok.com/@lanieslani/video/7577059917152914702,lanieslani,#olderbrothercore #gamerboy #2000s #foryou #nostalgia ,14300,34,0.0,,,False,False,False,False,False,False,"['olderbrothercore', 'gamerboy', '2000s', 'foryou', 'nostalgia']",2026-04-05 13:52:24
https://www.tiktok.com/@madzrosiee/video/7508066945359482142,madzrosiee,"older brother core 

#olderbrother #older #axlheck #themiddle #rodrick #rodrickheffleytok #diaryofawimpykid ",9478,40,0.0,,,False,False,False,False,False,False,"['olderbrother', 'older', 'axlheck', 'themiddle', 'rodrick', 'rodrickheffleytok', 'diaryofawimpykid']",2026-04-05 13:52:34
https://www.tiktok.com/@xxtux0201xx/video/7589487870654663957,xxtux0201xx,"Primeiro post, ignora qualquer coisa.

#y2k #2000s #2000sthrowback #olderbrothercore #sk8",16800,453,0.0,,,False,False,False,False,False,False,"['y2k', '2000s', '2000sthrowback', 'olderbrothercore', 'sk8']",2026-04-05 13:52:41
https://www.tiktok.com/@k_o_l_e_k_t_o_r/video/7522945392426749202,k_o_l_e_k_t_o_r,"older brother core

#старыйтнт #olderbrothercore #вернитемой2007 #мой2007 #прикол #nostalgia #frutigeraero #nostalgiacore #2010s #2007 ",1566,8,0.0,,,False,False,False,False,False,False,"['olderbrothercore', '2007', '2007', 'nostalgia', 'frutigeraero', 'nostalgiacore', '2010s', '2007']",2026-04-05 13:52:52
https://www.tiktok.com/@vrefos/video/7591865829470260502,vrefos,Older brother core drip 🥀 #2000s #southpole #baggy #hiphop #swag ,4771,33,0.0,,,False,False,False,False,False,False,"['2000s', 'southpole', 'baggy', 'hiphop', 'swag']",2026-04-05 13:53:05
https://www.tiktok.com/@darko2421/video/7531414032801156357,darko2421,eu tô esquecendo de postar nessa conta 💔🥀#y2k ,9877,51,0.0,,,False,False,False,False,False,False,['y2k'],2026-04-05 13:53:14
https://www.tiktok.com/@marysldd/video/7543755979779886392,marysldd,#olderbrother #fyp #core #on #rge ,1867,9,0.0,,,False,False,False,False,False,False,"['olderbrother', 'fyp', 'core', 'on', 'rge']",2026-04-05 13:53:22
https://www.tiktok.com/@leoziinns/video/7619566930013326610,leoziinns,"It's so good to have the power to be free, but it hurts to be so alone in this cruel world.",57,2,0.0,,,False,False,False,False,False,False,[],2026-04-05 13:53:30
https://www.tiktok.com/@orocheetoss/video/7602313633246366996,orocheetoss,older brazilian brother core #olderbrother #2000s #brasil ,2538,28,0.0,,,False,False,False,False,False,False,"['olderbrother', '2000s', 'brasil']",2026-04-05 13:53:38
https://www.tiktok.com/@_cookiesandcream333/video/7623560803702050062,_cookiesandcream333,"2000s older brother core 🩷

#2000s #2000sthrowback #olderbrother #olderbrothercore #_cookiesandcream333 ",264,5,0.0,,,False,False,False,False,False,False,"['2000s', '2000sthrowback', 'olderbrother', 'olderbrothercore', '_cookiesandcream333']",2026-04-05 13:53:49
https://www.tiktok.com/@jadixxi_/video/7624292868680617224,jadixxi_,"#VAGAZOIDES Lucas era muito à frente do seu tempo.
#2010s #olderbrothercore #foryoupage @愛 @vagazoides ",99600,226,0.0,,,False,False,False,False,False,False,"['vagazoides', '2010s', 'olderbrothercore', 'foryoupage']",2026-04-05 13:53:59
https://www.tiktok.com/@anonymouskiller06v2/video/7556615739092913419,anonymouskiller06v2,older brother core#2000s#olderbrothercore#oldcore#oldgames#nostalgia,9698,44,0.0,,,False,False,False,False,False,False,"['2000s', 'olderbrothercore', 'oldcore', 'oldgames', 'nostalgia']",2026-04-05 13:54:07
https://www.tiktok.com/@cloud_gamer25/video/7591145883970915592,cloud_gamer25,#nostalgia #nostalgiacore #2000s #core #olderbrother ,183,5,0.0,,,False,False,False,False,False,False,"['nostalgia', 'nostalgiacore', '2000s', 'core', 'olderbrother']",2026-04-05 13:54:15
https://www.tiktok.com/@haunt3dbat/video/7591508738398293270,haunt3dbat,Hello guys :> #2000s #y2k #olderbrothercore #fyyyy #viral ,161300,943,0.0,,,False,False,False,False,False,False,"['2000s', 'y2k', 'olderbrothercore', 'fyyyy', 'viral']",2026-04-05 13:54:25
https://www.tiktok.com/@midnightframes14/video/7575298800273591559,midnightframes14,#olderbrothercore #fyppppppppppppppppppppppp #acc #tiktok #jessie @TikTok @kira._023 ,1380,13,0.0,,,False,False,False,False,False,False,"['olderbrothercore', 'fyppppppppppppppppppppppp', 'acc', 'tiktok', 'jessie']",2026-04-05 13:54:35
https://www.tiktok.com/@eurotrippmusic/video/7579031118834437407,eurotrippmusic,peak #90s #nostalgia #numetal #alttiktok #shoegaze ,1287,25,0.0,,,False,False,False,False,False,False,"['90s', 'nostalgia', 'numetal', 'alttiktok', 'shoegaze']",2026-04-05 13:54:43
https://www.tiktok.com/@lauris.psl/video/7610875248073870614,lauris.psl,#damonsalvatore #damonsalvatoreedit #thevampirediaries #thevampirediariesedit #edit ,30800,151,0.0,,,False,False,False,False,False,False,"['damonsalvatore', 'damonsalvatoreedit', 'thevampirediaries', 'thevampirediariesedit', 'edit']",2026-04-05 13:54:54
https://www.tiktok.com/@lawliet.yagami2/video/7587884143783005496,lawliet.yagami2,@sabzzzzit my brother,2062,33,0.0,,,False,False,False,False,False,False,[],2026-04-05 13:55:02
https://www.tiktok.com/@crossbonesk/video/7601630999608298772,crossbonesk,"oii me sigam no insta @tgct.lul 

#monster  #outfit #sk8archive ",1632,40,0.0,,,False,False,False,False,False,False,"['monster', 'outfit', 'sk8archive']",2026-04-05 13:55:12
https://www.tiktok.com/@nivekfforhs/video/7386771535215824133,nivekfforhs,"what is this feeling…
#olderbrothercore #pastelghost♡ ",746600,1572,0.0,,,False,False,False,False,False,False,"['olderbrothercore', 'pastelghost']",2026-04-05 13:55:23
https://www.tiktok.com/@.ofrango/video/7522852986960268550,.ofrango,Como o tempo capota #nostalgia #nostalgiacore #olderbrothercore #2000s ,20200,164,0.0,,,False,False,False,False,False,False,"['nostalgia', 'nostalgiacore', 'olderbrothercore', '2000s']",2026-04-05 13:55:32
https://www.tiktok.com/@xeen.66/video/7543405631210867986,xeen.66,"Me core:
#03 #switch #limpbizkit #mecore #oldersibling ",324400,1141,0.0,,,False,False,False,False,False,False,"['03', 'switch', 'limpbizkit', 'mecore', 'oldersibling']",2026-04-05 13:55:43
https://www.tiktok.com/@werl.wzy/video/7620430697638956308,werl.wzy,"Minha obsessão: Meu quarto
#2000s #nostalgic #olderbrothercore #fyppppppppppppppppppppppp #foryou ",71,6,0.0,,,False,False,False,False,False,False,"['2000s', 'nostalgic', 'olderbrothercore', 'fyppppppppppppppppppppppp', 'foryou']",2026-04-05 13:55:52
https://www.tiktok.com/@jknami00/video/7619327152483355917,jknami00,older brother core: #monsterholic #monster #monsterenergy ,40100,650,0.0,,,False,False,False,False,False,False,"['monsterholic', 'monster', 'monsterenergy']",2026-04-05 13:56:00
https://www.tiktok.com/@timecleaner68/video/7569169061343481101,timecleaner68,#aesthetic #aesthetics #oldbrothercore #olderbrothercore #2000s #2000sthrowback #nostalgia #fyp ,6755,34,0.0,,,False,False,False,False,False,False,"['aesthetic', 'aesthetics', 'oldbrothercore', 'olderbrothercore', '2000s', '2000sthrowback', 'nostalgia', 'fyp']",2026-04-05 13:56:10
https://www.tiktok.com/@maximkaaa.exe/video/7621169471440293140,maximkaaa.exe,портал в 2007 #olderbrothercore #olderbrothercore2000s #2000s #nostalgia #ностальгия ,233,0,0.0,,,False,False,False,False,False,False,"['olderbrothercore', 'olderbrothercore2000s', '2000s', 'nostalgia']",2026-04-05 13:56:21
https://www.tiktok.com/@oikaruukiss/video/7615784981947862302,oikaruukiss,#hetalia #siblings ,20400,188,0.0,,,False,False,False,False,False,False,"['hetalia', 'siblings']",2026-04-05 13:56:30
https://www.tiktok.com/@aplanoreal/video/7526954374615125254,aplanoreal,"brazilian older brother core 

#aesthetic #y2k #2000s #nostalgia ",13900,142,0.0,,,False,False,False,False,False,False,"['aesthetic', 'y2k', '2000s', 'nostalgia']",2026-04-05 13:56:39
https://www.tiktok.com/@leandrocavalcante9974/video/7622682025509588245,leandrocavalcante9974,old brother#nostalgia #oldbrothercore #2000s ,120,2,0.0,,,False,False,False,False,False,False,"['nostalgia', 'oldbrothercore', '2000s']",2026-04-05 13:56:50
https://www.tiktok.com/@childhood_2000s_memories/video/7494654290577886466,childhood_2000s_memories,#nostalgia #2000s #2000sthrowback #nostalgiacore #aestheticvideos #teenager #olderbrother #olderbrothercore #edit #fyp #viraltiktokvideo ,2147,10,0.0,,,False,False,False,False,False,False,"['nostalgia', '2000s', '2000sthrowback', 'nostalgiacore', 'aestheticvideos', 'teenager', 'olderbrother', 'olderbrothercore', 'edit', 'fyp', 'viraltiktokvideo']",2026-04-05 13:57:00
https://www.tiktok.com/@staysolidshady/video/7364496189695249707,staysolidshady,fine ill do it myself 🤧 #fyp #olderbrothercore #teenagedirtbag ,47000,138,0.0,,,False,False,False,False,False,False,"['fyp', 'olderbrothercore', 'teenagedirtbag']",2026-04-05 13:57:12
https://www.tiktok.com/@milkcarton.angel/video/7624314436559457567,milkcarton.angel,Older brother core #olderbrother #y2k #aesthetic #fyp ,1172,3,0.0,,,False,False,False,False,False,False,"['olderbrother', 'y2k', 'aesthetic', 'fyp']",2026-04-05 13:57:21
https://www.tiktok.com/@hmmbert/video/7618055587678424334,hmmbert,"One of the best eras with some of the best aesthetics

#swag #scenecore #2010saesthetics #olderbrothercore #throwback ",294,5,0.0,,,False,False,False,False,False,False,"['swag', 'scenecore', '2010saesthetics', 'olderbrothercore', 'throwback']",2026-04-05 13:57:31
https://www.tiktok.com/@moodior/video/7522388375957933343,moodior,2000s 🛹🎮💿🎸,6211,13,0.0,,,False,False,False,False,False,False,[],2026-04-05 13:57:40
https://www.tiktok.com/@inxhw/video/7620458086565776660,inxhw,#parati #fyp #2000s  #estetica2000s #olderbrothercore ,70,6,0.0,,,False,False,False,False,False,False,"['parati', 'fyp', '2000s', 'estetica2000s', 'olderbrothercore']",2026-04-05 13:57:51
https://www.tiktok.com/@brunostalgia.ofc/video/7614124045197692180,brunostalgia.ofc,Ben 10 | Você é o irmão mais velho que eu nunca tive... (Ben e Kevin) #Ben10 #ben10edit #ben10omniverse #ben10alienforce ,124200,1380,0.0,,,False,False,False,False,False,False,"['ben10', 'ben10edit', 'ben10omniverse', 'ben10alienforce']",2026-04-05 13:58:01
https://www.tiktok.com/@nvm.wish/video/7563395843236089110,nvm.wish,old vibe of life #2000 #linkinpark #olderbrothercore #oldvibes ,698,2,0.0,,,False,False,False,False,False,False,"['2000', 'linkinpark', 'olderbrothercore', 'oldvibes']",2026-04-05 13:58:10
https://www.tiktok.com/@blackcoffeebeast/video/7620501356243209494,blackcoffeebeast,resident evil 0 #residentevil #residentevil4 #residenteviledit ,87,0,0.0,,,False,False,False,False,False,False,"['residentevil', 'residentevil4', 'residenteviledit']",2026-04-05 13:58:21
