video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@lino.de.gasperi/video/7439851184157969686,,SHOP IN BIO 💸 #fyp #oldmoney #viral #oldmoneyaesthetic ,66900,525.0,,,,False,False,True,False,False,False,"['#fyp', '#oldmoney', '#viral', '#oldmoneyaesthetic']",2026-04-09 15:31:12
https://www.tiktok.com/@luxuryexplorer1/video/7555155014478564630,,Lake Como Old Money Villa of your dreams - Villa del Balbianello🤍 ,467000,1004.0,,,,False,False,False,False,False,False,[],2026-04-09 15:31:22
https://www.tiktok.com/@doit_archive/video/7622888549892869397,,Oufit of the day 🍾🥂🌴 #OOTD #stockholmstyle #oldmoneystyle ,8069,15.0,,,,False,False,False,False,False,False,"['#OOTD', '#stockholmstyle', '#oldmoneystyle']",2026-04-09 15:31:31
https://www.tiktok.com/@oldmoneywealth/video/7442729146230361366,,#foryou #fy #oldmoney #aesthetic #wealth #oldmoneyoutfits #outfit #style #fashion ,9456,11.0,,,,False,False,False,False,False,False,"['#foryou', '#fy', '#oldmoney', '#aesthetic', '#wealth', '#oldmoneyoutfits', '#outfit', '#style', '#fashion']",2026-04-09 15:31:41
https://www.tiktok.com/@alexisbayunco/video/7537909084931034382,,"old draft, but ima start posting soon!

#fashiontiktok #outfitinspo ",46500,195.0,,,,False,False,False,False,False,False,"['#fashiontiktok', '#outfitinspo']",2026-04-09 15:31:52
https://www.tiktok.com/@juya15/video/7544758487767584007,,#oldmoney #style old money style 😝,5773,,,,,False,False,False,False,False,False,"['#oldmoney', '#style']",2026-04-09 15:32:02
https://www.tiktok.com/@mariancoronaddo/video/7492469242793610551,,"Outfits para calor estilo old money 🌊☀️🏝️

#oldmoney ",84,1.0,,,,False,False,False,False,False,False,['#oldmoney'],2026-04-09 15:32:10
https://www.tiktok.com/@oldmoneyoutfitinspo/video/7495797070641728814,,Shop Esandro Vale ⚜️🤝 #oldmoney #mensstyle ,799,2.0,,,,False,False,True,False,False,False,"['#oldmoney', '#mensstyle']",2026-04-09 15:32:20
https://www.tiktok.com/@lifeeema/video/7471303939778989355,,vibe💙 #ocean #lifestyle #blue #oldmoney #aesthetic #fyp #richlife #recommendations ,14700,20.0,,,,False,False,False,False,False,False,"['#ocean', '#lifestyle', '#blue', '#oldmoney', '#aesthetic', '#fyp', '#richlife', '#recommendations']",2026-04-09 15:32:30
https://www.tiktok.com/@tiktereest/video/7390716017279880481,,#ralphlauren #classy #oldmoney #fashion #polo #fyp #viral #mensoutfit #money #pourtoi #explore ,566800,834.0,,,,False,False,False,False,False,False,"['#ralphlauren', '#classy', '#oldmoney', '#fashion', '#polo', '#fyp', '#viral', '#mensoutfit', '#money', '#pourtoi', '#explore']",2026-04-09 15:32:39
https://www.tiktok.com/@l.g.c_maison/video/7616507934503226632,,🤍#lifestyle#oldmoney#luxury#white#fy,2147,7.0,,,,False,False,False,False,False,False,"['#lifestyle', '#oldmoney', '#luxury', '#white', '#fy']",2026-04-09 15:32:48
https://www.tiktok.com/@cozyescape6/video/7601099723830856967,,"This style >>>>>> #QuietLuxury
 #OldMoneyAesthetic
 ",393,2.0,,,,False,False,False,False,False,False,"['#QuietLuxury', '#OldMoneyAesthetic']",2026-04-09 15:32:57
https://www.tiktok.com/@thehamerston/video/7614232910987644182,,"Dream lifestyle.
#richaesthetic 
#oldmoneystyle #lifeofluxury #richlife #southoffrance ",9364,13.0,,,,False,False,False,False,False,False,"['#richaesthetic', '#oldmoneystyle', '#lifeofluxury', '#richlife', '#southoffrance']",2026-04-09 15:33:05
https://www.tiktok.com/@labellevieinspo/video/7212587003160874246,,Total black outfits #oldmoneyaesthetic #oldmoney #totalblack ,208400,163.0,,,,False,False,False,False,False,False,"['#oldmoneyaesthetic', '#oldmoney', '#totalblack']",2026-04-09 15:33:15
https://www.tiktok.com/@aeoy888/video/7601465354296020232,,#แต่งตัวoldmoneyผู้หญิง #เสื้อแกรมๆ ,2197,5.0,,,,False,False,False,False,False,False,"['#แต่งตัวoldmoneyผู้หญิง', '#เสื้อแกรมๆ']",2026-04-09 15:33:25
https://www.tiktok.com/@lably194/video/7538972242248551698,,"Old Money Dress Outfits Ideas!❤️✨
Visit my showcase for more.. ",1285,42.0,,,,False,False,False,False,False,False,[],2026-04-09 15:33:32
https://www.tiktok.com/@hawtlen/video/7592612529919036692,,#womenwatch #oldmoneystyle ,1208,6.0,,,,False,False,False,False,False,False,"['#womenwatch', '#oldmoneystyle']",2026-04-09 15:33:43
https://www.tiktok.com/@s.spenx.x/video/7543534810615074055,,#oldmoney #fashion #outfitofanhhh #myoutfit ,577800,2716.0,,,,False,False,False,False,False,False,"['#oldmoney', '#fashion', '#outfitofanhhh', '#myoutfit']",2026-04-09 15:33:52
https://www.tiktok.com/@whoizria.d/video/7514976320250580231,,#whitetrouser #trouser #white #wideleg #oldmoneyoutfit ,35000,173.0,,,,False,False,False,False,False,False,"['#whitetrouser', '#trouser', '#white', '#wideleg', '#oldmoneyoutfit']",2026-04-09 15:34:00
https://www.tiktok.com/@oldmoneycrafts/video/7409768727345990944,,"Old Money Men 🕴️
#oldmoneymen #oldmoney #classy #oldisgold ",43600,82.0,,,,False,False,False,False,False,False,"['#oldmoneymen', '#oldmoney', '#classy', '#oldisgold']",2026-04-09 15:34:11
https://www.tiktok.com/@eu_asga/video/7540004609478217016,,"✨ Compre pelo carrinho acima ⬆️, camisa gola polo básica , disponível em todos os tamanhos e cores no carrinho acima, acesse e garanta a sua ✅",2336,11.0,,,,False,False,False,False,False,False,[],2026-04-09 15:34:22
https://www.tiktok.com/@.homeofluxury/video/7521389252404399382,,"The function of man 
#luxury #jamesbond #oldmoney ",17000,23.0,,,,False,False,False,False,False,False,"['#luxury', '#jamesbond', '#oldmoney']",2026-04-09 15:34:30
https://www.tiktok.com/@nivandaz/video/7621778914796424469,,I love the vibe like this🤍✨ #outfit #oldmoney #oldmoneyaesthetic ,14,2.0,,,,False,False,False,False,False,False,"['#outfit', '#oldmoney', '#oldmoneyaesthetic']",2026-04-09 15:34:40
https://www.tiktok.com/@vescaraofficial/video/7590231019870031126,,"She doesn’t chase trends, she defines taste 👒✨",191,1.0,,,,False,False,False,False,False,False,[],2026-04-09 15:34:49
https://www.tiktok.com/@parijanofficial/video/7621773384740883734,,"Boys dress to show off, men dress to matter ⚜️🤫",141300,795.0,,,,False,False,False,False,False,False,[],2026-04-09 15:34:59
https://www.tiktok.com/@luxury_vip7/video/7505196065247792414,,"The life we deserve ✨️👑
#oldmoney #mediterranean #summer  ",412700,1051.0,,,,False,False,False,False,False,False,"['#oldmoney', '#mediterranean', '#summer']",2026-04-09 15:35:10
https://www.tiktok.com/@saint.reveur/video/7391222193503456544,,#fyp #foryou #oldmoney #ralphlauren #stockholm #scandinavianstyle ,33000,73.0,,,,False,False,False,False,False,False,"['#fyp', '#foryou', '#oldmoney', '#ralphlauren', '#stockholm', '#scandinavianstyle']",2026-04-09 15:35:19
https://www.tiktok.com/@oldmoneymenswear/video/7535004286036512008,,"Part 316✨
Best Summer Outfits For men ☀️ #outfits #menoutfit ",61500,524.0,,,,False,False,False,False,False,False,"['#outfits', '#menoutfit']",2026-04-09 15:35:26
