video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@yagapotchii/video/7241563491134393605,,just rain. #rain #calm #aesthetic #nature #peace #RainyDaysAesthetic #cinematicvideos #randomedit #NatureVideography #SlowVibes #AestheticSound #fyp ,26,0,,,,False,False,False,False,False,False,"['#rain', '#calm', '#aesthetic', '#nature', '#peace', '#rainydaysaesthetic', '#cinematicvideos', '#randomedit', '#naturevideography', '#slowvibes', '#aestheticsound', '#fyp']",2026-04-18 03:14:43
https://www.tiktok.com/@rainmoods4/video/7624337559732210965,,"🤌🏻🤍

#chuva #rain #relaxing #tempestade #vibe ",56900,1318,,,,False,True,False,False,False,False,"['#chuva', '#rain', '#relaxing', '#tempestade', '#vibe']",2026-04-18 03:14:55
https://www.tiktok.com/@ben_b219/video/7494734312533658902,,Rainy Forest #nature #darkaesthetic #calm #naturephotography #foryоu #aesthetic #relax ,359300,2432,,,,False,False,False,False,False,False,"['#nature', '#darkaesthetic', '#calm', '#naturephotography', '#fory%D0%BEu', '#aesthetic', '#relax']",2026-04-18 03:15:04
https://www.tiktok.com/@peter.mowry/video/7616922756059385101,,"⛈️⛈️⛈️

#liminal #ambient #darkaesthetic #rain #storm",4240,62,,,,False,False,False,False,False,False,"['#liminal', '#ambient', '#darkaesthetic', '#rain', '#storm']",2026-04-18 03:15:17
https://www.tiktok.com/@byymarga/video/7416719407226866976,,"Love a good rainy day🌟
#vlog #afternoon #afternoonroutine #afterschool #aestheticroom #fall #autumn #autumnvibes #fallvibes #cleangirl #thatgirl #aesthetic #byymarga ",326800,2474,,,,False,False,False,False,False,False,"['#vlog', '#afternoon', '#afternoonroutine', '#afterschool', '#aestheticroom', '#fall', '#autumn', '#autumnvibes', '#fallvibes', '#cleangirl', '#thatgirl', '#aesthetic', '#byymarga']",2026-04-18 03:15:29
https://www.tiktok.com/@loirinha_ofc40/video/7629677760402820373,,,33,2,,,,False,False,False,False,False,False,[],2026-04-18 03:15:40
https://www.tiktok.com/@vicdailydiary/video/7629062375538232583,,there’s something about rainy days that makes everything feel cozy 🤍🍂🌷🧸 #cozyathome #dailylife  #minivlog #aestheticvibes #studytok,54,5,,,,False,False,False,False,False,False,"['#cozyathome', '#dailylife', '#minivlog', '#aestheticvibes', '#studytok']",2026-04-18 03:15:47
https://www.tiktok.com/@yourfantasy01/video/7404950065653108000,,"Choose a bed to enjoy the rain ☔️

#fyp #foryou #vibes #relax #aesthetic #rain #bedroom #whichonewouldyoupick #viral ",304300,21200,,,,False,False,False,False,False,False,"['#fyp', '#foryou', '#vibes', '#relax', '#aesthetic', '#rain', '#bedroom', '#whichonewouldyoupick', '#viral']",2026-04-18 03:15:56
https://www.tiktok.com/@fragmentedbeauty/video/7423838085072440609,,"Raindrops falling in the streets of Paris, painting the city in a soft glow. There’s a certain magic in rainy nights, don’t you think? 🌧️✨ #ParisInTheRain #RainyParis #AestheticVibes #ParisNights #MoodyAtmosphere #RainyDays #StreetAesthetic #ParisGlow #SoftRain #UrbanAesthetic #CinematicVibes #RaindropsOnStreets #ParisMoments #DreamyVibes #SereneScenes #WetStreets #ParisianNights #RainMood #RainReflection #QuietMoments",75,2,,,,False,False,False,False,False,False,"['#parisintherain', '#rainyparis', '#aestheticvibes', '#parisnights', '#moodyatmosphere', '#rainydays', '#streetaesthetic', '#parisglow', '#softrain', '#urbanaesthetic', '#cinematicvibes', '#raindropsonstreets', '#parismoments', '#dreamyvibes', '#serenescenes', '#wetstreets', '#parisiannights', '#rainmood', '#rainreflection', '#quietmoments']",2026-04-18 03:16:06
https://www.tiktok.com/@vibee_dark/video/7489913758228155703,,Solitude 🤍 #vibe #dark #aesthetic #fyp #melancholic #alone #rainvibes #rain #twilight #solitude ,25900,283,,,,False,False,False,False,False,False,"['#vibe', '#dark', '#aesthetic', '#fyp', '#melancholic', '#alone', '#rainvibes', '#rain', '#twilight', '#solitude']",2026-04-18 03:16:22
https://www.tiktok.com/@anixz.x/video/7283907843823095072,,Rainy days ☁️ #anime #aesthetic,65200,163,,,,False,False,False,False,False,False,"['#anime', '#aesthetic']",2026-04-18 03:16:33
https://www.tiktok.com/@cold_horizon0/video/7626194351340686593,,.... #night #rain #sadcore #darkaesthetic #alone ,90,2,,,,False,True,False,False,False,False,"['#night', '#rain', '#sadcore', '#darkaesthetic', '#alone']",2026-04-18 03:16:43
https://www.tiktok.com/@nxtwaveil/video/7524854716480638264,,follow for more aesthetic vids & edits🫶🏻 #fyp #foru #viralvideos #foryoupage #follow #following #rain #aesthetic #softaesthetic #rainlover #rainaesthetic #cozy #cozyatmosphere #japan ,39,3,,,,False,False,False,False,False,False,"['#fyp', '#foru', '#viralvideos', '#foryoupage', '#follow', '#following', '#rain', '#aesthetic', '#softaesthetic', '#rainlover', '#rainaesthetic', '#cozy', '#cozyatmosphere', '#japan']",2026-04-18 03:16:51
https://www.tiktok.com/@peter.mowry/video/7627212855145680142,,"rainy morning 🌧️

#liminal #ambient #rain #aesthetic #nostalgia ",3466,29,,,,False,False,False,False,False,False,"['#liminal', '#ambient', '#rain', '#aesthetic', '#nostalgia']",2026-04-18 03:17:02
https://www.tiktok.com/@jf..__/video/7567568558285229324,,#NovemberRain #Aesthetic #Cinematic #MoodyVibes #RainyDay ,1610,2,,,,False,False,False,False,False,False,"['#novemberrain', '#aesthetic', '#cinematic', '#moodyvibes', '#rainyday']",2026-04-18 03:17:10
https://www.tiktok.com/@keeshii4/video/7099892630254832902,,Anime rain edit 🌧 #anime #video #rain #edit #japanese #aesthetic #fyp #fypシ,853,5,,,,False,False,False,False,False,False,"['#anime', '#video', '#rain', '#edit', '#japanese', '#aesthetic', '#fyp', '#fyp%E3%82%B7']",2026-04-18 03:17:20
https://www.tiktok.com/@next0183/video/7629822356101401874,,"|| Edit mangá shadow || Song: esqueci || Capcut mobile edit || Tags...
.
.
.
.
.
.
.
.
.
#120fpsmoblie #fyyyyyyyyyyyyyyyy #vizualizaçao #next #fyp #meme #shadow #atomic ★ upload method ★ TG: @editing_news",91,40,,,,False,True,False,False,False,False,"['#120fpsmoblie', '#fyyyyyyyyyyyyyyyy', '#vizualiza%C3%A7ao', '#next', '#fyp', '#meme', '#shadow', '#atomic']",2026-04-18 03:17:30
https://www.tiktok.com/@mrsmckennabarry/video/7205660252220427566,,"Rainy days ⚡️

#rainy #rainyday #rainydayvibes #darkacademia #rain #darkacademiaaesthetic#bedarkacademiaaestheticreaesthetic #hygge #fyp #foryou #foryoupage #AXERatioChallenge #cozy #cozytok #cozyvibes ",548000,2387,,,,False,True,False,False,False,False,"['#rainy', '#rainyday', '#rainydayvibes', '#darkacademia', '#rain', '#darkacademiaaesthetic', '#bedarkacademiaaestheticreaesthetic', '#hygge', '#fyp', '#foryou', '#foryoupage', '#axeratiochallenge', '#cozy', '#cozytok', '#cozyvibes']",2026-04-18 03:17:41
https://www.tiktok.com/@giohengel/video/7629868913081306389,,"Night Routine🖤🌌🐉❤
#routine #nigthroutine #girlaesthetic #cozynight #bookgirl ",8,0,,,,False,False,False,False,False,False,"['#routine', '#nigthroutine', '#girlaesthetic', '#cozynight', '#bookgirl']",2026-04-18 03:17:52
https://www.tiktok.com/@sunsloveme/video/7365866836144950534,,#night #rain #thunderstormnight #aesthetic #aestheticvideos #edits #editsaesthetic #explorar #explore #fy #fypシ ,1132,8,,,,False,False,False,False,False,False,"['#night', '#rain', '#thunderstormnight', '#aesthetic', '#aestheticvideos', '#edits', '#editsaesthetic', '#explorar', '#explore', '#fy', '#fyp%E3%82%B7']",2026-04-18 03:18:02
https://www.tiktok.com/@nightspillow/video/7628050484363808030,,#rainyday #rainambience #rainaesthetic #rainasmr #rainvibes ,24,0,,,,False,False,False,False,False,False,"['#rainyday', '#rainambience', '#rainaesthetic', '#rainasmr', '#rainvibes']",2026-04-18 03:18:11
https://www.tiktok.com/@izruan/video/7568572997116661014,,the walk home #london#rain#britishweather  ,1100000,1058,,,,False,False,False,False,False,False,"['#london', '#rain', '#britishweather']",2026-04-18 03:18:20
https://www.tiktok.com/@_katelynbriggs_/video/7530846440961084685,,windows open & spotify on #fyp #foryoupage #rainyday #fallvibes #cozyaesthetic #autumnvibes #relatable ,287,5,,,,False,False,False,False,False,False,"['#fyp', '#foryoupage', '#rainyday', '#fallvibes', '#cozyaesthetic', '#autumnvibes', '#relatable']",2026-04-18 03:18:28
https://www.tiktok.com/@momenthunter503/video/7313345291657235758,,"For lovers of rainy days🖤😍⛈️

#🖤 #aesthetic #dream #december #december #share #rain #cloudy #dark #⛈️ #2023 #atlanta #videoedits ",37,0,,,,False,False,False,False,False,False,"['#%F0%9F%96%A4', '#aesthetic', '#dream', '#december', '#december', '#share', '#rain', '#cloudy', '#dark', '#%E2%9B%88%EF%B8%8F', '#2023', '#atlanta', '#videoedits']",2026-04-18 03:18:37
https://www.tiktok.com/@copicoll0/video/7627604858006228246,,#vibes #aesthetic #rainvibes #cityview #nightvibes ,1,0,,,,False,False,False,False,False,False,"['#vibes', '#aesthetic', '#rainvibes', '#cityview', '#nightvibes']",2026-04-18 03:18:47
https://www.tiktok.com/@rojinzzi/video/7289084968930659627,,"Autumn is here 🍂🤎
#autumnvibes #rainyday #rainydayvibes #aestheticvideos #aesthetics #aestheticsounds #fyp #fy #fyppppppppppppppppppppppp #aestheticedit #latteart #coffeetime #coffeetiktok ",20,1,,,,False,False,False,False,False,False,"['#autumnvibes', '#rainyday', '#rainydayvibes', '#aestheticvideos', '#aesthetics', '#aestheticsounds', '#fyp', '#fy', '#fyppppppppppppppppppppppp', '#aestheticedit', '#latteart', '#coffeetime', '#coffeetiktok']",2026-04-18 03:18:56
https://www.tiktok.com/@authenticvibes00/video/7539395337748761869,,"i love a good rain in the fall season 🍁🍂

#fyp #followformore👉🏽👉🏽 #autumnaesthetic #autumnrain #aesthetic ",322,5,,,,False,False,False,False,False,False,"['#fyp', '#autumnaesthetic', '#autumnrain', '#aesthetic']",2026-04-18 03:19:07
https://www.tiktok.com/@lunora.eco/video/7549383479595781394,,"Rain on water. 6-second reset. 🌧️
#RainTok #rain #ripples #calm #relaxing #ASMR #ambience #aesthetic #loop #VerticalVideo",61,1,,,,False,False,False,False,False,False,"['#RainTok', '#rain', '#ripples', '#calm', '#relaxing', '#ASMR', '#ambience', '#aesthetic', '#loop', '#VerticalVideo']",2026-04-18 03:19:16
https://www.tiktok.com/@rainynightroom/video/7621355715789344021,,"soft rain, quiet thoughts 🌧️

#RainAesthetic #CozyNights #RainAmbience #ChillVibes #NightCalm         ",13,0,,,,False,False,False,False,False,False,"['#rainaesthetic', '#cozynights', '#rainambience', '#chillvibes', '#nightcalm']",2026-04-18 03:19:26
