video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@golden_tunes0/video/7556435219834801416,golden_tunes0,#rareaesthetic #lyrics #music #fyp #capcut    ,3311,77,0.0,,,False,False,False,False,False,False,"['rareaesthetic', 'lyrics', 'music', 'fyp', 'capcut']",2026-04-07 17:23:23
https://www.tiktok.com/@lxanire/video/7573779777534856461,lxanire,#brown #cozy #vibe #brownaesthetic #cozyvibes ,21100,66,0.0,,,False,False,False,False,False,False,"['brown', 'cozy', 'vibe', 'brownaesthetic', 'cozyvibes']",2026-04-07 17:23:31
https://www.tiktok.com/@ba6ydolls/video/7419902724319317290,ba6ydolls,monochrome moodboard #edit #moodboard #aesthetic #girlblogger #katemoss #naomicampbell #model #modelchic #monochrome #pinterest ,733,8,0.0,,,False,False,False,False,False,False,"['edit', 'moodboard', 'aesthetic', 'girlblogger', 'katemoss', 'naomicampbell', 'model', 'modelchic', 'monochrome', 'pinterest']",2026-04-07 17:23:40
https://www.tiktok.com/@lechugakawaii/video/7548537174967291141,lechugakawaii,#pinchetiktokponmeenparati #fyp #xbcyza #okmañana💜 ,375500,546,0.0,,,False,False,False,False,False,False,"['pinchetiktokponmeenparati', 'fyp', 'xbcyza', 'okmaana']",2026-04-07 17:23:52
https://www.tiktok.com/@bwl.laurenz/video/7625757361919118624,bwl.laurenz,#bwl #richlife #finanzkrise ,455,1,0.0,,,False,False,False,False,False,False,"['bwl', 'richlife', 'finanzkrise']",2026-04-07 17:24:00
https://www.tiktok.com/@velvetvision53/video/7493929844015631639,velvetvision53,"this is your sign to follow for daily aesthetic
#moodboard #fyp #xyzabc #Summer #vibe #blackandwhite #follow ",87300,267,0.0,,,False,False,False,False,False,False,"['moodboard', 'fyp', 'xyzabc', 'summer', 'vibe', 'blackandwhite', 'follow']",2026-04-07 17:24:08
https://www.tiktok.com/@winwl2/video/7549755986983079176,winwl2,صارت ؟!#fyp#trend#goviral#views ,59200,937,0.0,,,False,False,False,False,False,False,"['fyp', 'trend', 'goviral', 'views']",2026-04-07 17:24:16
https://www.tiktok.com/@x1z2y/video/7251624692438666523,x1z2y,my room reminds me of like the moon but also the ocean at night time ,277600,1229,0.0,,,False,False,False,False,False,False,[],2026-04-07 17:24:24
https://www.tiktok.com/@thebiggest_gojohater/video/7559581336747429142,thebiggest_gojohater,"MY man mentioned......... 
#DRA #SDRA2 #UTSURO #RAREAESHTETIC #FYP ",453,13,0.0,,,False,False,False,False,False,False,"['dra', 'sdra2', 'utsuro', 'rareaeshtetic', 'fyp']",2026-04-07 17:24:35
https://www.tiktok.com/@cuntnexx/video/7602004738112015634,cuntnexx,#2000s #ParisHilton #rareaesthetic  #culturapop #fyp ,49900,37,0.0,,,False,False,False,False,False,False,"['2000s', 'parishilton', 'rareaesthetic', 'culturapop', 'fyp']",2026-04-07 17:24:46
https://www.tiktok.com/@r3p0st..6/video/7625705041415916833,r3p0st..6,#rareaesthetic #pierce #fyp ,26,1,0.0,,,False,False,False,False,False,False,"['rareaesthetic', 'pierce', 'fyp']",2026-04-07 17:24:55
https://www.tiktok.com/@aoiasahinaoffcial/video/7549000559592787230,aoiasahinaoffcial,,886400,6991,0.0,,,False,False,False,False,False,False,[],2026-04-07 17:25:03
https://www.tiktok.com/@stylexoxox/video/7615663622378851606,stylexoxox,@adorée #modelling #model ##stylexoxo #fyp #viral ,1216,2,0.0,,,False,True,False,False,False,False,"['modelling', 'model', 'stylexoxo', 'fyp', 'viral']",2026-04-07 17:25:13
https://www.tiktok.com/@dressah_klthslv/video/7606870142647029000,dressah_klthslv,eu achava😓 #jesus #rareaesthetic ,149800,456,0.0,,,False,False,False,False,False,False,"['jesus', 'rareaesthetic']",2026-04-07 17:25:22
https://www.tiktok.com/@tortured.snoopy.spam/video/7599861488144141599,tortured.snoopy.spam,#fyp #usa #tiktok #edit #rareaesthetic ,217,13,0.0,,,False,False,False,False,False,False,"['fyp', 'usa', 'tiktok', 'edit', 'rareaesthetic']",2026-04-07 17:25:31
https://www.tiktok.com/@emerson_s25/video/6965332668758150405,emerson_s25,My diy of the week ￼,30,0,0.0,,,False,False,False,False,False,False,[],2026-04-07 17:25:39
https://www.tiktok.com/@0ther_w0rldy/video/7454377210158402848,0ther_w0rldy,"pinkcore </3

#pink #pinkaesthetic #aesthetic #cute #aestheticedits #soft #edit #aestheticedit #aesthetics #beautiful ",18200,358,0.0,,,False,False,False,False,False,False,"['pink', 'pinkaesthetic', 'aesthetic', 'cute', 'aestheticedits', 'soft', 'edit', 'aestheticedit', 'aesthetics', 'beautiful']",2026-04-07 17:25:48
https://www.tiktok.com/@ternurabrand/video/7605773090315865375,ternurabrand,Rare aesthetic “what’s fashion” outfits!,47,0,0.0,,,False,False,False,False,False,False,[],2026-04-07 17:25:59
