video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@voguemagic/video/7467998951443139872,voguemagic,"Divine feminine energy forever 🤍🫧🍸
••
#girlthings #feminineenergy ",5562,50.0,0.0,,,False,False,False,False,False,False,"['girlthings', 'feminineenergy']",2026-04-10 01:30:56
https://www.tiktok.com/@luxuryexplorer1/video/7337712740040969504,luxuryexplorer1,Luxury shopping is my addiction🤍🙏 #luxury #dior #chanel ,36200,324.0,0.0,,,False,True,True,False,False,False,"['luxury', 'dior', 'chanel']",2026-04-10 01:31:06
https://www.tiktok.com/@bestabetee/video/7603791540049251598,bestabetee,#red #luxury #richlife #aesthetic ,1735,4.0,0.0,,,False,False,False,False,False,False,"['red', 'luxury', 'richlife', 'aesthetic']",2026-04-10 01:31:12
https://www.tiktok.com/@haverly.comen/video/7456130773582712094,haverly.comen,> > >,14300,114.0,0.0,,,False,False,False,False,False,False,[],2026-04-10 01:31:20
https://www.tiktok.com/@kerina.wang/video/7252388465206234373,kerina.wang,in my sofia era 🖤😎 #richgirlaesthetic #richgirlvibes ,76000,69.0,0.0,,,False,False,False,False,False,False,"['richgirlaesthetic', 'richgirlvibes']",2026-04-10 01:31:29
https://www.tiktok.com/@lawfulg1rl/video/7598551431855099156,lawfulg1rl,"quick reminder that any negativity, envy, or hate sent my way gets transformed into success and wealth i’m a witch keep going guys loool ",194400,693.0,0.0,,,False,False,False,False,False,False,[],2026-04-10 01:31:37
https://www.tiktok.com/@c7uture/video/7473179835255262486,c7uture,Billionaire woman r amazing [ib: @harv; cc : me]#aftereffectsedits #aestheticedit #aesthetic #monacolife #editss #richedits ,82,7.0,0.0,,,False,False,False,False,False,False,"['aftereffectsedits', 'aestheticedit', 'aesthetic', 'monacolife', 'editss', 'richedits']",2026-04-10 01:31:45
https://www.tiktok.com/@aaesthetic.styling/video/6879391820850269441,aaesthetic.styling,love this aesthetic 😍🤑 #rich #money #fyp #aesthetics #aesthetic,162,5.0,0.0,,,False,False,False,False,False,False,"['rich', 'money', 'fyp', 'aesthetics', 'aesthetic']",2026-04-10 01:31:52
https://www.tiktok.com/@billionairelifestylee_/video/7568673888746442002,billionairelifestylee_,"Billionaire lifestyle 💎💍
#luxurylife #richlife 
#billionaire #luxury ",437,7.0,0.0,,,False,False,False,False,False,False,"['luxurylife', 'richlife', 'billionaire', 'luxury']",2026-04-10 01:32:04
https://www.tiktok.com/@stylesbygraciee/video/7394567324700888353,stylesbygraciee,🤍🥂🇲🇨 // #fyp #foryou #foryourpage #trending #viral #aesthetic #edit #monaco #montecarlo #rich #richlife #richgirl #formula1,412,0.0,0.0,,,False,False,False,False,False,False,"['fyp', 'foryou', 'foryourpage', 'trending', 'viral', 'aesthetic', 'edit', 'monaco', 'montecarlo', 'rich', 'richlife', 'richgirl', 'formula1']",2026-04-10 01:32:09
https://www.tiktok.com/@melaq_x/video/7560252645940694294,melaq_x,#Meme #MemeCut #CapCut #staywoke #staytoxic #work ,17000,21.0,0.0,,,False,False,False,False,False,False,"['meme', 'memecut', 'capcut', 'staywoke', 'staytoxic', 'work']",2026-04-10 01:32:21
https://www.tiktok.com/@freedomlovesmoney/video/7599308722585865474,freedomlovesmoney,#luxury #darkaesthetics #rich #luxurylifestyle ,4081,11.0,0.0,,,False,False,False,False,False,False,"['luxury', 'darkaesthetics', 'rich', 'luxurylifestyle']",2026-04-10 01:32:32
https://www.tiktok.com/@st.mncastr/video/7495266393722572050,st.mncastr,#future #brain #motivation #wish #dream #power #aura #energy #vibe #focus #mindset #icon #aesthetic #lamborgini #swarowski #diamonds ,216900,227.0,0.0,,,False,False,False,False,False,False,"['future', 'brain', 'motivation', 'wish', 'dream', 'power', 'aura', 'energy', 'vibe', 'focus', 'mindset', 'icon', 'aesthetic', 'lamborgini', 'swarowski', 'diamonds']",2026-04-10 01:32:41
https://www.tiktok.com/@byyblush/video/7590106265116888334,byyblush,#luxury #lifestyle #luxurylife #aesthetic #rich,773,3.0,0.0,,,False,False,False,False,False,False,"['luxury', 'lifestyle', 'luxurylife', 'aesthetic', 'rich']",2026-04-10 01:32:50
https://www.tiktok.com/@yslitgirll/video/7452813532141194502,yslitgirll,ib: @wwessssst | #moneytalks #money #millionaire #richlife #kyliejenner #birkinbag #yacht #ferrari #moodboard #aesthetic #pinterest ,82800,242.0,0.0,,,False,False,False,False,False,False,"['moneytalks', 'money', 'millionaire', 'richlife', 'kyliejenner', 'birkinbag', 'yacht', 'ferrari', 'moodboard', 'aesthetic', 'pinterest']",2026-04-10 01:33:01
https://www.tiktok.com/@m.sdd21/video/7593721332920093974,m.sdd21,#leahruby #asiantycoon #iconicmoments #targetaudience #fyp @️juliette ,166400,464.0,0.0,,,False,False,False,False,False,False,"['leahruby', 'asiantycoon', 'iconicmoments', 'targetaudience', 'fyp']",2026-04-10 01:33:12
https://www.tiktok.com/@cleangirl2212/video/7622720422894701844,cleangirl2212,I just fell in love with this style 💖 #cleangirlstyle #oldmoney ,41,1.0,0.0,,,False,False,False,False,False,False,"['cleangirlstyle', 'oldmoney']",2026-04-10 01:33:19
https://www.tiktok.com/@28.richess/video/7342269714950901025,28.richess,"Darling 💫 clips in bio.

#aesthetic #luxury #millionairelifestyle ",910,7.0,0.0,,,False,False,False,False,False,False,"['aesthetic', 'luxury', 'millionairelifestyle']",2026-04-10 01:33:26
https://www.tiktok.com/@shlaikova.elena/video/7381046659872017670,shlaikova.elena,"Welcome to Monaco 🛥️💰
My tweed set from @Meshki 
#monaco ",367800,864.0,0.0,,,False,False,False,False,False,False,['monaco'],2026-04-10 01:33:37
https://www.tiktok.com/@manefesting_aesthetics/video/7589764174289423647,manefesting_aesthetics,Tag someone you know #rich #richlifestyle #filthyrich #foryoupage #viral,81400,327.0,0.0,,,False,False,False,False,False,False,"['rich', 'richlifestyle', 'filthyrich', 'foryoupage', 'viral']",2026-04-10 01:33:46
https://www.tiktok.com/@m3rrylight/video/7240792621499682054,m3rrylight,"go check link in my bio ⏫️⏫️⏫️ 

#oldmoney #classicoutfit #oldmoneyoutfit #oldmoneynames ",1147,0.0,0.0,,,False,False,False,False,False,False,"['oldmoney', 'classicoutfit', 'oldmoneyoutfit', 'oldmoneynames']",2026-04-10 01:33:57
https://www.tiktok.com/@yywkqy/video/7601378518496267542,yywkqy,Comfort is the enemy 💸🔥 #money #rich #lifestyle #flexmoney ,1226,20.0,0.0,,,False,False,False,False,False,False,"['money', 'rich', 'lifestyle', 'flexmoney']",2026-04-10 01:34:09
https://www.tiktok.com/@monifesty/video/7601542676898532628,monifesty,this life and nothing less. #itgirl #baddieaesthetic #manifestation #richlifestyle #classy ,42,0.0,0.0,,,False,True,False,False,False,False,"['itgirl', 'baddieaesthetic', 'manifestation', 'richlifestyle', 'classy']",2026-04-10 01:34:19
https://www.tiktok.com/@.manontls/video/7565942220398906646,.manontls,📍Empire State Building #newyorkcity #empirestatebuilding ,281100,1255.0,0.0,,,False,False,False,False,False,False,"['newyorkcity', 'empirestatebuilding']",2026-04-10 01:34:28
https://www.tiktok.com/@avrialyx/video/7600781875132583171,avrialyx,Life is what you make it.,282700,253.0,0.0,,,False,False,False,False,False,False,[],2026-04-10 01:34:36
https://www.tiktok.com/@maerzgko97d/video/7529113100100865302,maerzgko97d,"Old Money muse
#classyaesthetic #oldmoney #oldmoneyaesthetic #oldmoneyoutfits #classylady ",75400,182.0,0.0,,,False,True,False,False,False,False,"['classyaesthetic', 'oldmoney', 'oldmoneyaesthetic', 'oldmoneyoutfits', 'classylady']",2026-04-10 01:34:42
https://www.tiktok.com/@soueuuu86/video/7516729635015625989,soueuuu86,#gataonly #floymenor #crismj #dubai #vibes #foryoupage #night #city #dubaitiktok #aesthetic #viralvideos #rich #lifestyle #citylife #fyp ,15500,102.0,0.0,,,False,False,False,False,False,False,"['gataonly', 'floymenor', 'crismj', 'dubai', 'vibes', 'foryoupage', 'night', 'city', 'dubaitiktok', 'aesthetic', 'viralvideos', 'rich', 'lifestyle', 'citylife', 'fyp']",2026-04-10 01:34:54
https://www.tiktok.com/@camilla.tty/video/7336890462650830113,camilla.tty,"life of a luxury girl 🖤✨ #fyp #nightaesthetic #luxurylife
#foryou ",94100,334.0,0.0,,,False,False,False,False,False,False,"['fyp', 'nightaesthetic', 'luxurylife', 'foryou']",2026-04-10 01:35:03
https://www.tiktok.com/@user319043097/video/7582249692185070862,user319043097,Vibe of wealth.#luxuryaesthetic #luxe #richwife #moneytalks ,189,1.0,0.0,,,False,False,False,False,False,False,"['luxuryaesthetic', 'luxe', 'richwife', 'moneytalks']",2026-04-10 01:35:14
https://www.tiktok.com/@_maisonclub/video/7592014291574836501,_maisonclub,"Aesthetic work

#aesthetic #rich #vibes #fashion #viral ",6514,3.0,0.0,,,False,False,False,False,False,False,"['aesthetic', 'rich', 'vibes', 'fashion', 'viral']",2026-04-10 01:35:22
https://www.tiktok.com/@luxarchive7/video/7582409180028407048,luxarchive7,#money #luxuryvibe #rich #aesthetic #foryou ,4260,144.0,0.0,,,False,False,False,False,False,False,"['money', 'luxuryvibe', 'rich', 'aesthetic', 'foryou']",2026-04-10 01:35:29
https://www.tiktok.com/@primeiro.milhaotkk/video/7437683877692329271,primeiro.milhaotkk,Essa vida... #luxury #lifestyle #kiwify #marketing #milionario ,16400,564.0,0.0,,,False,False,False,False,False,False,"['luxury', 'lifestyle', 'kiwify', 'marketing', 'milionario']",2026-04-10 01:35:39
https://www.tiktok.com/@cryptocoin_indo/video/7421485029227891974,cryptocoin_indo,"The Gold is Yours.
Take It

#richlife #wealthylifestyle #luxury ",165900,2539.0,0.0,,,False,False,False,False,False,False,"['richlife', 'wealthylifestyle', 'luxury']",2026-04-10 01:35:50
https://www.tiktok.com/@luxefaithco/video/7540748715947068727,luxefaithco,"Images are for aesthetic purposes only!

#PrettyGirlGoals #SoftLife ",328,6.0,0.0,,,False,False,False,False,False,False,"['prettygirlgoals', 'softlife']",2026-04-10 01:35:58
https://www.tiktok.com/@angelzblvd/video/7403890361422204165,angelzblvd,>>>> #ralphlauren #oldmoney #aesthetic #pinterest #fyp #foryou #edit ,37500,65.0,0.0,,,False,False,False,False,False,False,"['ralphlauren', 'oldmoney', 'aesthetic', 'pinterest', 'fyp', 'foryou', 'edit']",2026-04-10 01:36:09
https://www.tiktok.com/@vescaraofficial/video/7598471638648278275,vescaraofficial,"Cringe is loud, classy is composed 🕴️🤍",7423,49.0,0.0,,,False,False,False,False,False,False,[],2026-04-10 01:36:16
