video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@feebruarigirl_/video/7301223870755802373,feebruarigirl_,Menumpahkan tangis di bawah air hujan adalah caraku menyembunyikan kesedihan.,5049,82,0.0,,,False,True,False,False,False,False,[],2026-03-22 14:57:13
https://www.tiktok.com/@lonleypixels/video/7501927743840341253,lonleypixels,Dark Ambience 1.7 Algunos caminos no llevan a un lugar… solo te regresan a ti.,605,3,0.0,,,False,False,False,False,False,False,[],2026-03-22 14:57:23
https://www.tiktok.com/@kkerasu/video/7566283216135507208,kkerasu,sadcore | #sadcore #mecore #corecore #depressed,5752,20,0.0,,,False,True,False,False,False,False,"['sadcore', 'mecore', 'corecore', 'depressed']",2026-03-22 14:57:33
https://www.tiktok.com/@shamp1k2/video/7506189187561819393,shamp1k2,"very very beautiful 

#sosad #reality #beauty #nightsadcore #atmosphere #сигареты #кто #я #rek #sa #sosad #on #fyp #fyr ",3115,27,0.0,,,False,True,False,False,False,False,"['sosad', 'reality', 'beauty', 'nightsadcore', 'atmosphere', 'rek', 'sa', 'sosad', 'on', 'fyp', 'fyr']",2026-03-22 14:57:42
https://www.tiktok.com/@realshxt5/video/7361924312619633963,realshxt5,real real.#realcore #corecore #real #core #nichetok #realreal #sadcore #reall ,346800,2533,0.0,,,False,True,False,False,False,False,"['realcore', 'corecore', 'real', 'core', 'nichetok', 'realreal', 'sadcore', 'reall']",2026-03-22 14:57:53
https://www.tiktok.com/@withered.roots/video/7534052869322984726,withered.roots,why?,405300,1831,0.0,,,False,False,False,False,False,False,[],2026-03-22 14:58:01
https://www.tiktok.com/@l0nelysoul0/video/7550264527535836447,l0nelysoul0,"...

#real #vibes #alone #aesthetic #atmosphere #tired #apathy #sadvideo #sadvibes ",1923,31,0.0,,,False,True,False,False,False,False,"['real', 'vibes', 'alone', 'aesthetic', 'atmosphere', 'tired', 'apathy', 'sadvideo', 'sadvibes']",2026-03-22 14:58:10
https://www.tiktok.com/@ryemusica9/video/7508865497031658808,ryemusica9,"17:12 | song sad...
#song #someonetoyou #slowedsongs #vibes ",237,4,0.0,,,False,True,False,False,False,False,"['song', 'someonetoyou', 'slowedsongs', 'vibes']",2026-03-22 14:58:20
https://www.tiktok.com/@l0nelysoul0/video/7506856065741442335,l0nelysoul0,"wind
#real #depressed #atmosphere #aesthetic #nature #alone #darkaesthetic #tired #sadvideo #apathy ",1436,34,0.0,,,False,True,False,False,False,False,"['real', 'depressed', 'atmosphere', 'aesthetic', 'nature', 'alone', 'darkaesthetic', 'tired', 'sadvideo', 'apathy']",2026-03-22 14:58:30
https://www.tiktok.com/@walscarv/video/7017693823124000005,walscarv,#fy #foryou  #vibesad  #vibe #sad #sadsong #,53600,222,0.0,,,False,True,False,False,False,False,"['fy', 'foryou', 'vibesad', 'vibe', 'sad', 'sadsong']",2026-03-22 14:58:39
https://www.tiktok.com/@secretaccount09165/video/7601981319207308565,secretaccount09165,#sadtok #reposts #aesthetic #fyp #goviral ,6146,6,0.0,,,False,True,False,False,False,False,"['sadtok', 'reposts', 'aesthetic', 'fyp', 'goviral']",2026-03-22 14:58:50
https://www.tiktok.com/@nighttt17q/video/7602665483522854165,nighttt17q,#aesthetic #vibe #alone #sad #fyp ,70,0,0.0,,,False,True,False,False,False,False,"['aesthetic', 'vibe', 'alone', 'sad', 'fyp']",2026-03-22 14:58:59
