video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@cunnychann/video/7571991719093243143,cunnychann,#cutecore🎀🦴🍮🐾 #hellokitty #mymelody #harajukustyle #pink ,3153.0,34.0,0.0,,,False,False,False,False,False,False,"['cutecore', 'hellokitty', 'mymelody', 'harajukustyle', 'pink']",2026-04-01 04:59:59
https://www.tiktok.com/@hisplushiehoarder/video/7489226708885851435,hisplushiehoarder,clean your fyp🧼🫧 #cutecore🎀🦴🍮🐾 #viral?fypシ #mymelody ,43400.0,3099.0,0.0,,,False,False,False,False,False,False,"['cutecore', 'viralfyp', 'mymelody']",2026-04-01 05:00:07
https://www.tiktok.com/@jessmorales_/video/7516823403651779871,jessmorales_,This keychain’s the cutest! 🎀 #sanrio #sanriogirl #sanriocore ,8082.0,23.0,0.0,,,False,False,False,False,False,False,"['sanrio', 'sanriogirl', 'sanriocore']",2026-04-01 05:00:18
https://www.tiktok.com/@kkaili/video/7568202265987779870,kkaili,i luv group costumes #escape @lauryn @layyylaaa3 #sanriocostume,7282.0,111.0,0.0,,,False,False,False,False,False,False,"['escape', 'sanriocostume']",2026-04-01 05:00:28
https://www.tiktok.com/@morticianoftheabyss/video/7467373000325713183,morticianoftheabyss,charmmy kitty in wonderland edit by me :) might be a little choppy ,2820.0,15.0,0.0,,,False,False,False,False,False,False,[],2026-04-01 05:00:38
https://www.tiktok.com/@schmitziznotbased/video/7558954546278518038,schmitziznotbased,"ib @⃟  this is also quick but i like it soo…
#kuromi#kuromiedit#kuromicore#sanrio#edit",778.0,28.0,0.0,,,False,False,False,False,False,False,"['kuromi', 'kuromiedit', 'kuromicore', 'sanrio', 'edit']",2026-04-01 05:00:47
https://www.tiktok.com/@vannakuromi/video/7607577398795619591,vannakuromi,amoamo ele 🩵 ib: trizversexx #cinnamoroll #sanrio #hellokitty ,466.0,76.0,0.0,,,False,False,False,False,False,False,"['cinnamoroll', 'sanrio', 'hellokitty']",2026-04-01 05:00:57
https://www.tiktok.com/@miaacarlos/video/7529580944907423031,miaacarlos,so adorable! the keychains are the cutest #rose #hellokitty #sanrio ,634.0,7.0,0.0,,,False,True,False,False,False,False,"['rose', 'hellokitty', 'sanrio']",2026-04-01 05:01:07
https://www.tiktok.com/@_elldiary/video/7406026436735175942,_elldiary,"pompompurin 🍮🌟💭

#fypシ゚ #aesthetic #haul #pompompurin ",20000.0,113.0,0.0,,,False,False,False,False,False,False,"['fyp', 'aesthetic', 'haul', 'pompompurin']",2026-04-01 05:01:16
https://www.tiktok.com/@xei1saa/video/7618465717087718687,xei1saa,"‼️

#fyp 
#sanrio 
#mymelody 
#kawaii 
#cutecore🎀🦴🍮🐾 ",2447.0,29.0,0.0,,,False,False,False,False,False,False,"['fyp', 'sanrio', 'mymelody', 'kawaii', 'cutecore']",2026-04-01 05:01:24
https://www.tiktok.com/@willlmesh/video/7421366592497339655,willlmesh,me when i wear my melody id lace #sanrioboys #sanriodanshi #sanrioboysanime #sanrioboysedit #yuumizuno #mymelody ,29100.0,261.0,0.0,,,False,False,False,False,False,False,"['sanrioboys', 'sanriodanshi', 'sanrioboysanime', 'sanrioboysedit', 'yuumizuno', 'mymelody']",2026-04-01 05:01:33
https://www.tiktok.com/@moechuwa/video/7470780252038368520,moechuwa,"#moechuwa . . my little baby boy trend hihi (๑>◡<๑)♡ ft. @zayster 🎀 
a gift and valentines special !!!! WAOWWWWW NO WAY ???",90000.0,1175.0,0.0,,,False,False,False,False,False,False,['moechuwa'],2026-04-01 05:01:43
https://www.tiktok.com/@heartshapedsprinkles8/video/7343842432167021870,heartshapedsprinkles8,🍮🍪⋆.ೃ࿔*:･ #edit #kawaii #pink #cookie #cupcakes #sanrio #cutecore #pinterest #moodboard #chocolate #sanriocore #biscuit #edits #girly ,1229.0,27.0,0.0,,,False,False,False,False,False,False,"['edit', 'kawaii', 'pink', 'cookie', 'cupcakes', 'sanrio', 'cutecore', 'pinterest', 'moodboard', 'chocolate', 'sanriocore', 'biscuit', 'edits', 'girly']",2026-04-01 05:01:55
https://www.tiktok.com/@ledin.official/video/7122352108866784513,ledin.official,Let's vibe with #kuromi this summer! 🖤🐈‍⬛ #ledin #ledinese ,3032.0,25.0,0.0,,,False,False,False,False,False,False,"['kuromi', 'ledin', 'ledinese']",2026-04-01 05:02:06
https://www.tiktok.com/@hinatazzy/video/7611134452567198984,hinatazzy,Hey!! 🎀 #hellokitty #hellokittylover #sanrio #sanriogirl #sanriocore,805.0,21.0,0.0,,,False,False,False,False,False,False,"['hellokitty', 'hellokittylover', 'sanrio', 'sanriogirl', 'sanriocore']",2026-04-01 05:02:16
https://www.tiktok.com/@sanrio_babes19/video/7276654047413685546,sanrio_babes19,Im actually posting??! Sorry this is super rushed and sorry i havent posted in a while to!!☹️ ,75500.0,299.0,0.0,,,False,False,False,False,False,False,[],2026-04-01 05:02:25
https://www.tiktok.com/@mood_boards_4_lifeee/video/7531630680179035406,mood_boards_4_lifeee,"request for: @aquxtiz #fyp #fyp #viral #fyp #f #y #p #fyppppppppppppppppp #parati #sanrio #sanriocore
#cinnomonroll #cute #mood #board ",637.0,8.0,0.0,,,False,False,False,False,False,False,"['fyp', 'fyp', 'viral', 'fyp', 'f', 'y', 'p', 'fyppppppppppppppppp', 'parati', 'sanrio', 'sanriocore', 'cinnomonroll', 'cute', 'mood', 'board']",2026-04-01 05:02:36
