video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@mahiiland/video/7344690205330328865,mahiiland,"Study day 🖇️🫧

📌
#studytok #study #student #phd #phdstudent ",700,6.0,0.0,,,False,False,False,False,False,False,"['studytok', 'study', 'student', 'phd', 'phdstudent']",2026-04-16 16:41:53
https://www.tiktok.com/@leasdiaryyyy/video/7625684632775806240,leasdiaryyyy,study with me💕 #minivlog #aesthetic #digitaldiary #studywithme ,1076,14.0,0.0,,,False,False,False,False,False,False,"['minivlog', 'aesthetic', 'digitaldiary', 'studywithme']",2026-04-16 16:42:01
https://www.tiktok.com/@ritcheulle_marques/video/7330983177856535813,ritcheulle_marques,"As estações mudaram e voce continua aqui.. 🥺❤️🫶🏻
#enem ",247700,1109.0,0.0,,,False,False,False,False,False,False,['enem'],2026-04-16 16:42:07
https://www.tiktok.com/@sthezinha.tech/video/7603035974100061460,sthezinha.tech,mini vlog de estudos 📚🌷🧸〰️ #studyvlog #minivlog #aesthetic ,16900,137.0,0.0,,,False,False,False,False,False,False,"['studyvlog', 'minivlog', 'aesthetic']",2026-04-16 16:42:14
https://www.tiktok.com/@oreomuffy/video/7528647912021134610,oreomuffy,#notebook #notebooks #notebookforcollege ,12500,6.0,0.0,,,False,False,False,False,False,False,"['notebook', 'notebooks', 'notebookforcollege']",2026-04-16 16:42:20
https://www.tiktok.com/@laysbstudy/video/7199382808765271302,laysbstudy,#CapCut Garotas querem notas altas ✨❤️ e excelência 🫶 #studytok ,139100,998.0,0.0,,,False,False,False,False,False,False,"['capcut', 'studytok']",2026-04-16 16:42:27
https://www.tiktok.com/@trinisworld1/video/7512295790572883205,trinisworld1,"it doesn’t matter if you have to stay until late to study, KEEP GOING ",43200,185.0,0.0,,,False,False,False,False,False,False,[],2026-04-16 16:42:34
https://www.tiktok.com/@meodotrii/video/7594184149255081223,meodotrii,"night study with me📜🧸💭
#studytok #studywithme #aesthetic ",65900,371.0,0.0,,,False,False,False,False,False,False,"['studytok', 'studywithme', 'aesthetic']",2026-04-16 16:42:41
https://www.tiktok.com/@ulbabe/video/7547273600949079301,ulbabe,💻🍂 #ulbabe #grwm #itstudent #studytok #studentlife ,201,10.0,0.0,,,False,False,False,False,False,False,"['ulbabe', 'grwm', 'itstudent', 'studytok', 'studentlife']",2026-04-16 16:42:47
https://www.tiktok.com/@maiitoyoda/video/7510279550002105605,maiitoyoda,"4 am morning routine 🎀🫧☁️
#dayinmylife #morningroutine ",623500,2158.0,0.0,,,False,False,False,False,False,False,"['dayinmylife', 'morningroutine']",2026-04-16 16:42:54
