video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@oliwiasierakowskavlogs/video/7281332302032997664,oliwiasierakowskavlogs,this is your sign to keep goinggg and work hard to get what you want bc you WILL eventually get it 🎀🌸☕️,2822.0,22.0,0.0,,,False,False,False,False,False,False,[],2026-04-17 00:00:07
https://www.tiktok.com/@fameanglez/video/7627584548578004242,fameanglez,#TATEMCRAE || oh she is THAT girl || #foryoupage #foryou #edit #videostar ,20.0,0.0,0.0,,,False,False,False,False,False,False,"['tatemcrae', 'foryoupage', 'foryou', 'edit', 'videostar']",2026-04-17 00:00:16
https://www.tiktok.com/@mrsharrell126/video/7618637171301321997,mrsharrell126,Just a girl with a good vibe.#goodvibes #aesthetic #softgirl #tiktokgirl,16.0,1.0,0.0,,,False,False,False,False,False,False,"['goodvibes', 'aesthetic', 'softgirl', 'tiktokgirl']",2026-04-17 00:00:24
https://www.tiktok.com/@spam.kahlann/video/7624969507030797582,spam.kahlann,"cute right?  #outfitinspo #fyp 
#meme #joke #trend",6988.0,159.0,0.0,,,False,False,False,False,False,False,"['outfitinspo', 'fyp', 'meme', 'joke', 'trend']",2026-04-17 00:00:30
https://www.tiktok.com/@gxde864384055/video/7623449621100055839,gxde864384055,Just a girl with a good vibe.#goodvibes #aesthetic #softgirl #tiktokgirl,48.0,1.0,0.0,,,False,False,False,False,False,False,"['goodvibes', 'aesthetic', 'softgirl', 'tiktokgirl']",2026-04-17 00:00:37
https://www.tiktok.com/@suytinh303/video/7627901464823844116,suytinh303,Four seasons and moods #trend #music #thatgirl #xhh #edits ,5.0,0.0,0.0,,,False,False,False,False,False,False,"['trend', 'music', 'thatgirl', 'xhh', 'edits']",2026-04-17 00:00:44
https://www.tiktok.com/@lexyobrian_/video/7625587633485253901,lexyobrian_,#CapCut she's that girl!! @Fernanda Ramirez #fernandaramirezedit #thatgirledit #thatgirlaesthetic ,21.0,4.0,0.0,,,False,False,False,False,False,False,"['capcut', 'fernandaramirezedit', 'thatgirledit', 'thatgirlaesthetic']",2026-04-17 00:00:52
https://www.tiktok.com/@zohrastacey/video/7509298315939286328,zohrastacey,"relaxing you with some cozy selfcare 🫧

#fyp #selfcare #nightroutine ",649300.0,8433.0,0.0,,,False,False,False,False,False,False,"['fyp', 'selfcare', 'nightroutine']",2026-04-17 00:01:03
https://www.tiktok.com/@.b1amethemp3/video/7534847996937161998,.b1amethemp3,that girl edit audios | edit @⋆. ᴊᴊ 𝜗𝜚˚⋆ || #editaudio #editaudios #audio #audiosforedits #lindsay #lindsaylohan #2000s ,832.0,2.0,0.0,,,False,False,False,False,False,False,"['editaudio', 'editaudios', 'audio', 'audiosforedits', 'lindsay', 'lindsaylohan', '2000s']",2026-04-17 00:01:10
https://www.tiktok.com/@ztpbnwrlkge/video/7627540805200219423,ztpbnwrlkge,Style is saying who you are silently.#beautytips #thatgirl ,54.0,8.0,0.0,,,False,False,False,False,False,False,"['beautytips', 'thatgirl']",2026-04-17 00:01:17
