video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@crowtraderspost/video/7326330699412180254,crowtraderspost,"Trinket Jars Now Available!

#trinkets #crowcore #smallbusiness ",13.0,1.0,0.0,,,False,False,False,True,False,False,"['trinkets', 'crowcore', 'smallbusiness']",2026-03-30 00:21:44
https://www.tiktok.com/@sushiinosuke/video/7499526139170409783,sushiinosuke,"^___^;

#snoopy #trinkets #trinketcore #trinketcollection ",640.0,15.0,0.0,,,False,False,False,False,False,False,"['snoopy', 'trinkets', 'trinketcore', 'trinketcollection']",2026-03-30 00:21:52
https://www.tiktok.com/@pebblezita_dw/video/7618974510615743762,pebblezita_dw,agora e conseguir o trinket né;-;💔👀#dandysworld #pebblezita_dw #foryou #foryoupage #fyp ,3458.0,228.0,0.0,,,False,False,False,False,False,False,"['dandysworld', 'pebblezita_dw', 'foryou', 'foryoupage', 'fyp']",2026-03-30 00:22:02
https://www.tiktok.com/@acolyte_em/video/7540696669390769430,acolyte_em,new @UNIQLO Europe,642.0,8.0,0.0,,,False,False,False,False,False,False,[],2026-03-30 00:22:11
https://www.tiktok.com/@ivorwi/video/7539781612301585695,ivorwi,I love pink #glittercore #pink #fyp @kawababe #pastel ,6344.0,32.0,0.0,,,False,False,False,False,False,False,"['glittercore', 'pink', 'fyp', 'pastel']",2026-03-30 00:22:19
https://www.tiktok.com/@astroamescart/video/7620403489998458132,astroamescart,"usahana best girl 🌟🌸🩵

#usahana #customphonecase #heiseiretro ",370.0,11.0,0.0,,,False,False,False,False,False,False,"['usahana', 'customphonecase', 'heiseiretro']",2026-03-30 00:22:29
https://www.tiktok.com/@jjbeww/video/7401548266896117038,jjbeww,Coming on Monday !! #fypage #smallbusiness #beadedphonecharm,590.0,11.0,0.0,,,False,True,False,True,False,False,"['fypage', 'smallbusiness', 'beadedphonecharm']",2026-03-30 00:22:39
https://www.tiktok.com/@miasdigitallife/video/7427582031665712392,miasdigitallife,okay i know i made this as part of my diy gift series but its so cute it gets two videos 🥹 i will be forever upcycling my old mirrors now i fear ,78200.0,358.0,0.0,,,False,True,False,False,False,False,[],2026-03-30 00:22:50
https://www.tiktok.com/@lushgaspfk1234/video/7511027587376827653,lushgaspfk1234,"mains extraction core 

bônus

mains Holidays extraction core@Mains ",29200.0,483.0,0.0,,,False,False,False,False,False,False,[],2026-03-30 00:22:59
https://www.tiktok.com/@whimsygrlblogger/video/7499962777554046254,whimsygrlblogger,—#JUMINOCORE #moodboard #targetaudience #trinkets #core #green #fyp #girlblogger ,25200.0,299.0,0.0,,,False,False,False,False,False,False,"['juminocore', 'moodboard', 'targetaudience', 'trinkets', 'core', 'green', 'fyp', 'girlblogger']",2026-03-30 00:23:10
https://www.tiktok.com/@jaglever/video/7603109650350771470,jaglever,I hate minimalism.. that is DEFINITELY not my vibe lol. I have many trinkets and treasures from my adventures and they all remain on display for me to enjoy ☺️ ✨ ,49400.0,239.0,0.0,,,False,True,False,False,False,False,[],2026-03-30 00:23:21
https://www.tiktok.com/@chiaslibraryy/video/7597760662877637910,chiaslibraryy,#harpyhare #fairycore #whimsical #aesthetic #pinterest ,39600.0,174.0,0.0,,,False,False,False,False,False,False,"['harpyhare', 'fairycore', 'whimsical', 'aesthetic', 'pinterest']",2026-03-30 00:23:31
https://www.tiktok.com/@sparklegash/video/7294792480573099270,sparklegash,hai 👋 hello 👋,76400.0,2104.0,0.0,,,False,False,False,False,False,False,[],2026-03-30 00:23:42
https://www.tiktok.com/@m0nstiezx/video/7191981363065638149,m0nstiezx,we all have an extreme crush on her!! @kianamadeira #trinketsnetflix #trinkets #trinkets2 #trinketsedit #moetruax #moetruaxedit,257399.0,974.0,0.0,,,False,True,False,False,False,False,"['trinketsnetflix', 'trinkets', 'trinkets2', 'trinketsedit', 'moetruax', 'moetruaxedit']",2026-03-30 00:23:54
https://www.tiktok.com/@dandyswrldstar/video/7491841263977762090,dandyswrldstar,"Trinkets for distractor/extractor pebs!
#dandyswrld #pebbledw ",12100.0,618.0,0.0,,,False,False,False,False,False,False,"['dandyswrld', 'pebbledw']",2026-03-30 00:24:05
https://www.tiktok.com/@lylylyyyn/video/7459969694678715653,lylylyyyn,"Omg !!! ♡⸜(˶˃ ᵕ ˂˶)⸝♡ mi pequeño llaverito para llevar conmigo mi gel antibacterial me hace tan feliz ! Lo compré hace unos días y se me hizo la cosa más tierna de todo el mundo, especialmente porque su cara todo el tiempo es tipo; (°〇°)",354900.0,1440.0,0.0,,,False,False,False,False,False,False,[],2026-03-30 00:24:15
https://www.tiktok.com/@sheylla.motoqueira/video/7620974406898142484,sheylla.motoqueira,Gente o trinket só ganha na beleza pq de bom num tem nada #foryou #viral #foryoupage ,2023.0,285.0,0.0,,,False,True,False,False,False,False,"['foryou', 'viral', 'foryoupage']",2026-03-30 00:24:25
https://www.tiktok.com/@shopofthecourtier/video/7325239369369980203,shopofthecourtier,Thank you Brieanna! #rollfortrinkets #miniatures #vintage #trinkets ,312.0,1.0,0.0,,,False,False,False,False,False,False,"['rollfortrinkets', 'miniatures', 'vintage', 'trinkets']",2026-03-30 00:24:36
https://www.tiktok.com/@jadenhiilei/video/7532654762379037982,jadenhiilei,"Forever a trinket gurl <33

#junkjournal #junkjournaling ",73.0,15.0,0.0,,,False,False,False,False,False,False,"['junkjournal', 'junkjournaling']",2026-03-30 00:24:46
https://www.tiktok.com/@spazzatic_studio/video/7528135838769614136,spazzatic_studio,Even MORE trinkets 🍎,15.0,0.0,0.0,,,False,False,False,False,False,False,[],2026-03-30 00:24:55
https://www.tiktok.com/@en4ria/video/7573245926928583956,en4ria,"Aquatic Ambience.

#2000snostalgia #ps2 #dreamcore ",85700.0,503.0,0.0,,,False,False,False,False,False,False,"['2000snostalgia', 'ps2', 'dreamcore']",2026-03-30 00:25:06
