hashtag,frequencia
fyp,21611
aesthetic,11049
edit,4465
viral,4249
foryou,3898
foryoupage,3115
moodboard,2741
pinterest,2157
core,1989
corecore,1721
vibes,1677
cottagecore,1634
fy,1602
vibe,1573
cutecore,1562
nostalgia,1524
2000s,1490
dreamcore,1451
coquette,1427
nature,1359
capcut,1296
fashion,1216
pink,1178
mecore,1151
outfit,1115
ootd,1091
cleangirl,1074
hopecore,870
aestheticvideos,859
darkaesthetic,842
y2k,807
anime,784
summer,782
japan,780
outfitinspo,748
real,747
lifestyle,744
nightcore,742
fypviral,727
cute,713
girls,710
style,705
cleangirlaesthetic,702
goth,680
autumn,651
juminocore,637
fyppppppppppppppppppppppp,630
trend,628
fairycore,624
webcore,620
music,602
grunge,601
dark,601
weirdcore,601
darkacademia,595
trending,584
angelcore,583
roomtour,561
fall,555
gorpcore,555
aesthetics,552
kidcore,545
kawaii,542
xyzbca,541
fypage,535
lovecore,531
losercore,521
baddie,520
aestheticedits,514
frutigeraero,507
tiktok,506
gothic,506
ballet,503
oldmoney,496
spring,495
targetaudience,494
luxury,493
paris,489
coquetteaesthetic,488
80s,487
outfitideas,481
morute,473
dollcore,472
love,455
room,451
sanrio,449
halloween,446
winter,438
forest,437
edits,437
relatable,433
thatgirl,433
fallaesthetic,432
scene,432
vintage,430
lyrics,430
girl,429
whimsical,428
ocean,424
digitalcamera,414
2016,414
clean,401
alt,401
moodboardaesthetic,397
nostalgic,395
tumblr,391
liminalspaces,388
rich,384
dream,383
cleancore,378
childhood,373
cleanboy,370
travel,369
angel,369
viralvideo,368
cozy,364
song,364
sad,362
fairy,360
roomdecor,359
nostalgiacore,358
studytok,356
goblincore,353
tumblraesthetic,345
sadcore,341
calm,339
balletcore,338
pinterestaesthetic,337
night,336
lanadelrey,334
girly,332
downtowngirl,330
2020,328
scenecore,327
softgirl,324
green,317
inspo,316
fypp,315
explore,305
gothgirl,300
dance,298
art,295
girlblogger,295
roblox,295
red,293
morningroutine,288
pinkaesthetic,285
brown,285
realcore,284
white,283
animecore,281
fashiontiktok,277
bedroom,276
motivation,274
doll,274
rareaesthetic,271
makeup,271
emo,270
dollette,268
parati,267
beach,267
dullcore,267
fantasy,260
animeedit,259
creatorsearchinsights,257
space,249
happycore,249
gloomy,248
y2kaesthetic,247
poetry,245
girlythings,243
princess,240
gloomycoquette,240
cottagecoreaesthetic,239
recommendations,239
aestheticedit,239
asthetic,236
discomfortcore,234
roominspo,233
backrooms,231
2014,228
whimsy,228
grwm,226
sunset,225
80saesthetic,225
alternative,224
streetwear,224
mood,224
study,222
aestheticvibes,221
darkfantasy,218
princesscore,218
beauty,217
flowers,212
loser,212
frutigeraeroaesthetic,211
hellokitty,211
grungeaesthetic,211
cinematic,210
itgirl,210
lizzygrant,210
heiseiretro,208
snow,205
selfcare,205
yabujin,204
ballerina,202
fitcheck,201
autumnaesthetic,200
goviral,199
blue,198
mermaid,198
summervibes,195
darkacademiaaesthetic,194
life,193
vlog,193
luxurylifestyle,193
oldmoneyaesthetic,191
outfits,191
sanriocore,190
atmosphere,188
intp,188
hiking,187
quietlife,186
peace,186
swag,184
girlygirl,184
styleinspo,183
fyy,183
mbti,182
naturecore,181
blueeyes,178
estilo,177
rain,176
soft,176
universe,174
sadvibes,174
naturevibes,173
meme,172
girlyaesthetic,170
sillycore,169
altgirl,167
niche,166
cozyvibes,165
goodvibes,165
luxurylife,162
yabujincore,162
viralvideos,161
beautiful,161
repost,161
songs,160
tokyo,160
foryoupag,159
france,159
miami,158
2010s,156
homedecor,155
money,155
coolgirl,155
stars,154
viraltiktok,153
downtown,153
city,152
fyppp,152
kpop,152
olderbrothercore,152
japancore,151
blowthisup,150
japanese,149
darkcoquette,149
funny,148
yoga,147
jumpstyle,147
greenscreen,145
xybca,145
medieval,144
naturalbeauty,144
color,143
moodboardedit,142
kawaiicore,141
darkvibes,140
retro,139
wlw,139
asmr,138
me,136
on,136
pov,136
booktok,134
disney,134
fyyyyyyyyyyyyyyyy,133
stimboard,133
1980s,133
balletdancer,133
girlhood,132
horror,132
darkcore,132
fup,131
minivlog,131
relax,131
cottage,131
skate,130
garden,130
autumnvibes,128
victorian,128
jfashion,128
mymelody,128
heaven,127
mermaidcore,127
slowliving,126
digicam,126
pretty,126
pinkcore,126
clothes,123
alone,123
star,123
ballettok,123
wallpaper,122
eyes,122
fallfashion,121
moruteaesthetic,121
gloomcore,121
vaiprofycaramba,120
cleantok,119
peaceful,117
gym,117
studywithme,117
beachvibes,117
tumblrgirl,117
forestcore,116
scenekid,116
girlcore,116
shoujo,115
diy,115
mountain,115
video,114
school,114
beautytips,114
sk8,113
dreamcoreaesthetic,113
sea,113
speedupsongs,113
cinematography,112
glitchcore,111
countryside,110
nyc,110
tired,110
scenegirl,110
kyoto,110
minecraft,109
foryourpage,108
foru,108
colorful,108
weirdgirl,108
morning,107
xyzabc,107
animation,107
webcoreaesthetic,107
positivity,107
moda,106
photography,106
wintervibes,106
lyrics_songs,106
happy,106
softaesthetic,106
2000,105
speedsong,105
black,104
liminal,104
blowup,103
quotes,103
girlytok,103
gardencore,103
comfort,102
4u,100
funk,100
darkfeminine,100
twee,100
moody,99
scenery,99
2014tumblr,99
growagarden,99
country,98
couple,98
silly,98
weird,98
trinkets,98
usa,97
dress,97
november,97
